study	annotation_reason	n_cells
vaccination_study_01	independent_Myeloid_lineage_subcluster_to_Classical_Monocyte	80512
vaccination_study_01	independent_T_NK_lineage_subcluster_to_CD4_Naive_/_T_Central_Memory	70198
vaccination_study_01	independent_T_NK_lineage_subcluster_to_NK_Cell	52210
vaccination_study_01	independent_Myeloid_lineage_subcluster_to_Non-Classical_Monocyte	25355
vaccination_study_01	independent_Myeloid_lineage_subcluster_to_Conventional_DC_2	15460
vaccination_study_01	independent_T_NK_lineage_subcluster_to_CD8_Cytotoxic_/_T_Effector_Memory	13257
vaccination_study_01	independent_B_lineage_subcluster_to_Naive_B_Cell	12528
vaccination_study_01	independent_B_lineage_subcluster_to_Memory_B_Cell	9128
vaccination_study_01	independent_other_direct_Platelet	8074
vaccination_study_01	ambiguous_default_blood_cell	7172
vaccination_study_01	independent_Myeloid_lineage_subcluster_to_Plasmacytoid_DC	7162
vaccination_study_01	independent_B_lineage_subcluster_to_B_Cell	5271
vaccination_study_01	independent_B_lineage_subcluster_to_Plasma_Cell	543
vaccination_study_01	independent_other_direct_HSC	316
vaccination_study_01	independent_ambiguous_exact_source_votes_Classical Monocyte	3
vaccination_study_01	independent_ambiguous_exact_source_votes_Non-Classical Monocyte	2
vaccination_study_01	independent_ambiguous_exact_source_votes_NK Cell	1
vaccination_study_01	independent_ambiguous_exact_source_votes_HSC	1
vaccination_study_01	independent_ambiguous_exact_source_votes_Platelet	1
