study	broad_lineage	cluster	n_cells	chosen_label	accepted	best_candidate_before_parent_fallback	best_total_score	second_total_score	score_margin	marker_pct	marker_winner_fraction	source_fraction	source_count_mean	marker_availability	cluster_reason	top_celltypist_label	top_azimuth_pbmc_l2_label	top_azimuth_pbmc_l3_label	top_panhuman_fine_label	top_panhuman_medium_label	top_cluster_consensus_label	top_screfmapping_label	median_n_genes_by_counts	median_total_counts	median_pct_counts_mt
vaccination_study_06	T/NK	T_NK_lineage:0	3297	NK Cell	True	NK Cell	2.306342738540088	0.8862996686347621	1.4200430699053257	0.9515665546247758	0.2760084925690021	0.6469084449066251	4.528359114346375	1.0	cluster_consensus_marker_source_support	NK Cell:2945; CD8 Cytotoxic / T Effector Memory:287; Blood Cell:48; CD4 T Effector Memory:9	NK Cell:3245; CD4 Naive / T Central Memory:20; CD8 Cytotoxic / T Effector Memory:17; ydT Cell:12	Blood Cell:3231; NK Cell:61; MAIT Cell:4; Classical Monocyte:1	NK Cell:2776; Blood Cell:460; CD8 Cytotoxic / T Effector Memory:46; CD8 T Cell (ab):6	NK Cell:2776; T Cell:346; Blood Cell:175	NK Cell:3127; CD8 Cytotoxic / T Effector Memory:169; MAIT Cell:1	not_available:3297	2028.0	4683.0	2.2518765926361084
vaccination_study_06	T/NK	T_NK_lineage:1	3162	T Cell	False	CD4 T Effector Memory	1.3378317164182645	1.3014652138669542	0.0363665025513102	0.9049008168028004	0.2188488298545224	0.18333785126954	1.2833649588867806	1.0	cluster_parent_insufficient_consensus	CD4 T Effector Memory:2685; CD8 Cytotoxic / T Effector Memory:155; CD4 Naive / T Central Memory:122; Blood Cell:101	CD4 Naive / T Central Memory:2743; CD8 Naive / T Central Memory:330; Plasmablast:29; Treg:25	Blood Cell:3083; Treg:29; Plasma Cell:25; CD4 T Cell (ab):10	CD4 T Cell (ab):1698; CD4 T Effector Memory:873; Treg:326; Blood Cell:224	T Cell:2953; Blood Cell:209	CD4 Naive / T Central Memory:3101; CD8 Cytotoxic / T Effector Memory:42; NK Cell:9; MAIT Cell:5	CD4 Naive / T Central Memory:2059; not_available:539; CD4 T Effector Memory:490; Treg:74	2065.0	6258.5	1.1350529193878174
vaccination_study_06	T/NK	T_NK_lineage:2	2948	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.4892036619400384	0.6511418909031198	0.8380617710369186	0.6120752712516763	0.0172998643147896	0.486576855979841	3.4060379918588874	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:2784; CD4 T Effector Memory:32; CD8 Cytotoxic / T Effector Memory:30; Blood Cell:30	T Cell:2648; CD4 Naive / T Central Memory:282; RBC:7; Treg:5	Blood Cell:2926; RBC:10; Treg:7; CD4 Naive / T Central Memory:4	CD4 Naive / T Central Memory:1607; Blood Cell:671; Treg:289; CD4 T Cell (ab):222	T Cell:2491; Blood Cell:457	CD4 Naive / T Central Memory:2926; Blood Cell:15; CD8 Cytotoxic / T Effector Memory:7	CD4 Naive / T Central Memory:2438; not_available:433; CD4 T Effector Memory:47; Treg:30	828.0	1326.0	4.327013969421387
vaccination_study_06	T/NK	T_NK_lineage:6	2810	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	2.462199313631821	0.8240968548847126	1.6381024587471082	0.910769954196346	0.302491103202847	0.7371123538383325	5.159786476868328	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:2735; CD4 T Effector Memory:50; Treg:11; CD8 Naive / T Central Memory:7	CD4 Naive / T Central Memory:2808; CD8 Cytotoxic / T Effector Memory:1; Treg:1	CD4 Naive / T Central Memory:1663; Blood Cell:1146; Treg:1	CD4 Naive / T Central Memory:1735; Blood Cell:687; Treg:203; CD4 T Effector Memory:102	T Cell:2342; Blood Cell:468	CD4 Naive / T Central Memory:2797; NK Cell:7; CD8 Naive / T Central Memory:5; Blood Cell:1	CD4 Naive / T Central Memory:2761; not_available:25; Treg:20; CD4 T Effector Memory:4	1921.5	6280.5	0.8440499305725098
vaccination_study_06	T/NK	T_NK_lineage:7	2780	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.763968938629254	0.9291355894939862	0.8348333491352676	0.8282537139274456	0.09568345323741	0.4957862281603288	3.470503597122302	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1294; CD4 T Effector Memory:1211; Treg:168; Blood Cell:55	CD4 Naive / T Central Memory:2742; CD8 Naive / T Central Memory:21; Treg:15; CD8 Cytotoxic / T Effector Memory:1	Blood Cell:2683; CD4 Naive / T Central Memory:69; Treg:25; CD8 Naive / T Central Memory:3	CD4 T Cell (ab):885; CD4 T Effector Memory:784; Treg:596; CD4 Naive / T Central Memory:287	T Cell:2573; Blood Cell:207	CD4 Naive / T Central Memory:2773; NK Cell:4; Blood Cell:2; CD8 Cytotoxic / T Effector Memory:1	CD4 Naive / T Central Memory:2483; Treg:170; CD4 T Effector Memory:67; not_available:60	1977.0	6232.5	0.8571304678916931
vaccination_study_06	T/NK	T_NK_lineage:3	2743	CD8 Cytotoxic / T Effector Memory	True	CD8 Cytotoxic / T Effector Memory	2.0936808972535954	0.5337947313464773	1.559886165907118	0.946864278374754	0.3991979584396646	0.4853393052445185	3.3973751367116294	1.0	cluster_consensus_marker_source_support	CD8 Cytotoxic / T Effector Memory:2571; CD4 T Effector Memory:50; ydT Cell:48; NK Cell:23	CD8 Cytotoxic / T Effector Memory:2041; CD4 Naive / T Central Memory:401; NK Cell:99; ydT Cell:80	Blood Cell:2652; CD4 T Effector Memory:57; MAIT Cell:21; Plasma Cell:8	CD8 Cytotoxic / T Effector Memory:2067; Blood Cell:364; CD8 T Cell (ab):89; CD4 T Cell (ab):69	T Cell:2459; Blood Cell:238; NK Cell:46	CD8 Cytotoxic / T Effector Memory:2640; NK Cell:67; CD4 Naive / T Central Memory:27; MAIT Cell:8	not_available:2654; CD4 T Effector Memory:81; CD4 Naive / T Central Memory:8	1920.0	4996.0	2.4871983528137207
vaccination_study_06	T/NK	T_NK_lineage:9	2730	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	2.464407477695538	0.8592723172594445	1.6051351604360933	0.9165955519949842	0.2879120879120879	0.7416535845107273	5.191575091575092	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:2668; CD4 T Effector Memory:26; CD8 Naive / T Central Memory:22; Blood Cell:5	CD4 Naive / T Central Memory:2704; CD8 Naive / T Central Memory:25; Treg:1	CD4 Naive / T Central Memory:1381; Blood Cell:1329; CD8 Naive / T Central Memory:18; Treg:1	CD4 Naive / T Central Memory:2040; Blood Cell:304; Treg:174; CD4 T Effector Memory:106	T Cell:2484; Blood Cell:246	CD4 Naive / T Central Memory:2703; CD8 Naive / T Central Memory:18; Blood Cell:7; NK Cell:1	CD4 Naive / T Central Memory:2677; not_available:44; Treg:5; CD4 T Effector Memory:4	1761.0	5753.0	0.8942226767539978
vaccination_study_06	T/NK	T_NK_lineage:4	2662	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.168433453768174	0.9889589265172822	0.1794745272508917	0.5472665842317004	0.0018782870022539	0.3549425780830739	2.484598046581518	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1417; CD4 T Effector Memory:535; CD8 Cytotoxic / T Effector Memory:223; Blood Cell:179	T Cell:1678; CD4 Naive / T Central Memory:798; CD4 T Effector Memory:54; Treg:53	Blood Cell:2540; Treg:71; MAIT Cell:45; RBC:4	CD4 T Effector Memory:711; Treg:644; Blood Cell:512; CD4 T Cell (ab):510	T Cell:2250; Blood Cell:412	CD4 Naive / T Central Memory:2557; CD8 Cytotoxic / T Effector Memory:88; Blood Cell:17	CD4 Naive / T Central Memory:1596; CD4 T Effector Memory:567; not_available:347; Treg:152	965.0	1555.0	4.805397033691406
vaccination_study_06	T/NK	T_NK_lineage:11	2587	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	2.122383157992788	0.822358886321588	1.3000242716711998	0.832215817064038	0.1480479319675299	0.660500303716384	4.623502126014689	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:2282; CD4 T Effector Memory:164; Blood Cell:55; CD8 Naive / T Central Memory:38	CD4 Naive / T Central Memory:2549; CD8 Naive / T Central Memory:30; Plasmablast:6; Treg:2	Blood Cell:1600; CD4 Naive / T Central Memory:960; CD8 Naive / T Central Memory:13; Plasma Cell:6	CD4 Naive / T Central Memory:1115; CD4 T Cell (ab):697; Treg:409; Blood Cell:247	T Cell:2370; Blood Cell:217	CD4 Naive / T Central Memory:2557; CD8 Naive / T Central Memory:26; NK Cell:2; Blood Cell:2	CD4 Naive / T Central Memory:2498; not_available:44; Treg:34; CD4 T Effector Memory:11	1839.0	5831.0	0.8515815138816833
vaccination_study_06	T/NK	T_NK_lineage:10	2521	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.5947863724631637	0.6743806169537752	0.9204057555093884	0.6858008673087306	0.0412534708449028	0.4971383237944126	3.4799682665608884	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:2387; CD8 Naive / T Central Memory:61; Treg:26; Blood Cell:18	T Cell:2171; CD4 Naive / T Central Memory:350	Blood Cell:2521	CD4 Naive / T Central Memory:1383; Blood Cell:635; Treg:270; CD4 T Effector Memory:85	T Cell:2094; Blood Cell:427	CD4 Naive / T Central Memory:2521	CD4 Naive / T Central Memory:2132; not_available:352; Treg:29; CD4 T Effector Memory:8	979.0	1584.0	4.084411144256592
