final_broad_lineage	tool	covered_n	exact_final_concordance	broad_final_concordance
B	CellTypist	3667	0.34060539950913554	0.9380965366784838
B	Azimuth PBMC L2	3667	0.053995091355331336	0.7556585764930461
B	Azimuth PBMC L3	3667	0.0	0.05781292609762749
B	Pan-human Azimuth fine	3667	0.787019361876193	0.960185437687483
B	Pan-human Azimuth medium	3667	0.002727024815925825	0.9552767930188165
B	Cluster consensus	3667	0.003817834742296155	0.9550040905372239
B	Marker score	3667	0.000545404963185165	0.3662394327788383
B	screfmap scoped	3592	0.5281180400890868	0.9980512249443207
T/NK	CellTypist	51894	0.7182140517208155	0.9521910047404324
T/NK	Azimuth PBMC L2	51894	0.6560103287470613	0.987185416425791
T/NK	Azimuth PBMC L3	51894	0.10692951015531661	0.13429298184761243
T/NK	Pan-human Azimuth fine	51894	0.4192392184067522	0.7591629090068216
T/NK	Pan-human Azimuth medium	51894	0.12288511195899333	0.8163949589547924
T/NK	Cluster consensus	51894	0.9502832697421667	0.9782826531005511
T/NK	Marker score	51894	0.19302809573361082	0.9213011138089182
T/NK	screfmap scoped	27969	0.8508348528728235	0.9989631377596625
Myeloid/DC	CellTypist	138	0.043478260869565216	0.07971014492753623
Myeloid/DC	Azimuth PBMC L2	138	0.3115942028985507	0.4855072463768116
Myeloid/DC	Azimuth PBMC L3	138	0.2971014492753623	0.463768115942029
Myeloid/DC	Pan-human Azimuth fine	138	0.07971014492753623	0.09420289855072464
Myeloid/DC	Pan-human Azimuth medium	138	0.0	0.10144927536231885
Myeloid/DC	Cluster consensus	138	0.0	0.0
Myeloid/DC	Marker score	138	0.10869565217391304	0.9710144927536232
Myeloid/DC	screfmap scoped	42	0.0	0.0
Artifact/Other	CellTypist	1720	0.03372093023255814	0.0563953488372093
Artifact/Other	Azimuth PBMC L2	1720	0.0005813953488372093	0.08837209302325581
Artifact/Other	Azimuth PBMC L3	1720	0.0563953488372093	0.9273255813953488
Artifact/Other	Pan-human Azimuth fine	1720	0.10290697674418604	0.30930232558139537
Artifact/Other	Pan-human Azimuth medium	1720	0.0941860465116279	0.28313953488372096
Artifact/Other	Cluster consensus	1720	0.07732558139534884	0.15174418604651163
Artifact/Other	Marker score	1720	0.0	0.0
Artifact/Other	screfmap scoped	809	0.0	0.0
