final_broad_lineage	tool	covered_n	exact_final_concordance	broad_final_concordance
B	CellTypist	6322	0.4682062638405568	0.7540335336918697
B	Azimuth PBMC L2	6322	0.2029421069281873	0.9400506168933882
B	Azimuth PBMC L3	6322	0.2992723821575451	0.4171148370768744
B	Pan-human Azimuth fine	6322	0.8220499841822209	0.9438468838975008
B	Pan-human Azimuth medium	6322	0.002530844669408415	0.9421069281872825
B	Cluster consensus	6322	0.4726352420120215	0.9911420436570706
B	Marker score	6322	0.36618158810503004	0.8935463460930085
B	screfmap scoped	6249	0.7167546807489198	0.9932789246279404
T/NK	CellTypist	23290	0.6910261914984972	0.983383426363246
T/NK	Azimuth PBMC L2	23290	0.7240446543580936	0.9907256333190211
T/NK	Azimuth PBMC L3	23290	0.1103048518677544	0.18024903392013739
T/NK	Pan-human Azimuth fine	23290	0.5501073422069558	0.7969085444396736
T/NK	Pan-human Azimuth medium	23290	0.21648776298840705	0.808587376556462
T/NK	Cluster consensus	23290	0.7939458995276943	0.9554744525547445
T/NK	Marker score	23290	0.2712752254186346	0.9449549162730786
T/NK	screfmap scoped	7979	0.795964406567239	0.9953628274219827
Myeloid/DC	CellTypist	13140	0.7907153729071538	0.8723744292237443
Myeloid/DC	Azimuth PBMC L2	13140	0.869406392694064	0.9509132420091324
Myeloid/DC	Azimuth PBMC L3	13140	0.8528919330289193	0.9315068493150684
Myeloid/DC	Pan-human Azimuth fine	13140	0.7160578386605784	0.8813546423135464
Myeloid/DC	Pan-human Azimuth medium	13140	0.0	0.891248097412481
Myeloid/DC	Cluster consensus	13140	0.8242009132420092	0.9036529680365297
Myeloid/DC	Marker score	13140	0.08409436834094368	0.9918569254185693
Myeloid/DC	screfmap scoped	65	0.0	0.0
Artifact/Other	CellTypist	1015	0.270935960591133	0.30935960591133005
Artifact/Other	Azimuth PBMC L2	1015	0.3399014778325123	0.6699507389162561
Artifact/Other	Azimuth PBMC L3	1015	0.43054187192118226	0.7950738916256158
Artifact/Other	Pan-human Azimuth fine	1015	0.7448275862068966	0.8827586206896552
Artifact/Other	Pan-human Azimuth medium	1015	0.5261083743842364	0.8699507389162562
Artifact/Other	Cluster consensus	1015	0.45123152709359604	0.812807881773399
Artifact/Other	Marker score	1015	0.19901477832512315	0.43448275862068964
Artifact/Other	screfmap scoped	377	0.0	0.0
