study	broad_lineage	cluster	n_cells	chosen_label	accepted	best_candidate_before_parent_fallback	best_total_score	second_total_score	score_margin	marker_pct	marker_winner_fraction	source_fraction	source_count_mean	marker_availability	cluster_reason	top_celltypist_label	top_azimuth_pbmc_l2_label	top_azimuth_pbmc_l3_label	top_panhuman_fine_label	top_panhuman_medium_label	top_cluster_consensus_label	top_screfmapping_label	median_n_genes_by_counts	median_total_counts	median_pct_counts_mt
vaccination_study_09	T/NK	T_NK_lineage:0	7308	NK Cell	True	NK Cell	2.3883127414832126	0.9196459354717503	1.4686668060114623	0.9704808516719063	0.35112205801860974	0.6494643834545312	4.546250684181719	1.0	cluster_consensus_marker_source_support	NK Cell:7149; Blood Cell:60; CD4 Naive / T Central Memory:46; CD8 Cytotoxic / T Effector Memory:24	NK Cell:5414; CD8 Cytotoxic / T Effector Memory:1333; CD4 T Effector Memory:291; RBC:160	Blood Cell:6113; CD4 T Effector Memory:755; RBC:294; Lymphoid Cell:80	NK Cell:6762; CD8 Cytotoxic / T Effector Memory:307; Blood Cell:232; Treg:2	NK Cell:6762; T Cell:343; Blood Cell:202; Lymphoid Cell:1	NK Cell:7106; CD8 Cytotoxic / T Effector Memory:183; MAIT Cell:19	not_available:7308	850.0	1317.7978974653752	1.940707319719509
vaccination_study_09	T/NK	T_NK_lineage:1	6935	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.9563393521848758	1.0740827815789873	0.8822565706058885	0.8307159188339526	0.17217015140591205	0.56366258111031	3.9456380677721703	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:5706; CD8 Naive / T Central Memory:989; CD8 Cytotoxic / T Effector Memory:107; CD4 T Effector Memory:32	CD4 Naive / T Central Memory:4458; CD8 Naive / T Central Memory:1568; Treg:763; T Cell:61	CD4 Naive / T Central Memory:2803; Blood Cell:1898; CD8 Naive / T Central Memory:1465; Treg:756	CD4 Naive / T Central Memory:5700; CD8 Naive / T Central Memory:779; CD4 T Effector Memory:174; Blood Cell:143	T Cell:6796; Blood Cell:138; NK Cell:1	CD4 Naive / T Central Memory:5146; CD8 Naive / T Central Memory:1503; CD8 Cytotoxic / T Effector Memory:203; Treg:49	CD4 Naive / T Central Memory:3550; not_available:3179; CD4 T Effector Memory:142; Treg:64	949.0	1190.7533680348247	2.015037794039873
vaccination_study_09	T/NK	T_NK_lineage:3	6576	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.8987285690295541	0.871643181010156	1.027085388019398	0.7835774507002	0.0965632603406326	0.5875043448036148	4.112530413625304	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:6072; CD8 Naive / T Central Memory:322; CD8 Cytotoxic / T Effector Memory:88; NK Cell:43	CD4 Naive / T Central Memory:3375; Treg:2325; CD8 Naive / T Central Memory:723; T Cell:64	Treg:2312; Blood Cell:1869; CD4 Naive / T Central Memory:1722; CD8 Naive / T Central Memory:655	CD4 Naive / T Central Memory:5984; Blood Cell:287; CD8 Naive / T Central Memory:178; CD8 Cytotoxic / T Effector Memory:104	T Cell:6331; Blood Cell:244; NK Cell:1	CD4 Naive / T Central Memory:5262; CD8 Naive / T Central Memory:1007; CD8 Cytotoxic / T Effector Memory:245; MAIT Cell:30	CD4 Naive / T Central Memory:4629; not_available:1809; CD4 T Effector Memory:90; Treg:48	709.0	1085.903117266968	2.015451225063999
vaccination_study_09	T/NK	T_NK_lineage:2	6487	CD8 Cytotoxic / T Effector Memory	True	CD8 Cytotoxic / T Effector Memory	1.83301620459339	1.026843664370848	0.8061725402225419	0.9416619034009717	0.3238785262833359	0.38232508973991935	2.676275628179436	1.0	cluster_consensus_marker_source_support	NK Cell:3927; CD8 Cytotoxic / T Effector Memory:1906; CD4 Naive / T Central Memory:295; MAIT Cell:175	CD8 Cytotoxic / T Effector Memory:3988; CD4 T Effector Memory:1654; CD8 Naive / T Central Memory:221; NK Cell:194	Blood Cell:3924; CD4 T Effector Memory:2245; RBC:136; Treg:113	CD8 Cytotoxic / T Effector Memory:5818; Blood Cell:357; NK Cell:194; CD4 Naive / T Central Memory:38	T Cell:6017; Blood Cell:275; NK Cell:194; Lymphoid Cell:1	CD8 Cytotoxic / T Effector Memory:5649; MAIT Cell:494; NK Cell:284; CD4 Naive / T Central Memory:57	not_available:6443; CD4 T Effector Memory:28; CD4 Naive / T Central Memory:15; Treg:1	814.0	1239.4164631640645	2.21740984978659
vaccination_study_09	T/NK	T_NK_lineage:4	6070	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.6857243421295574	1.131174540437906	0.5545498016916512	0.7766540440125751	0.04843492586490939	0.49894092727700634	3.4925864909390443	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:4525; CD4 T Effector Memory:905; MAIT Cell:210; CD8 Cytotoxic / T Effector Memory:108	CD4 Naive / T Central Memory:5202; Treg:358; CD8 Naive / T Central Memory:192; CD4 T Effector Memory:162	Blood Cell:5613; Treg:333; CD4 Naive / T Central Memory:53; CD4 T Effector Memory:32	CD4 T Effector Memory:2999; CD4 Naive / T Central Memory:2515; Blood Cell:258; CD8 Cytotoxic / T Effector Memory:166	T Cell:5817; Blood Cell:252; NK Cell:1	CD4 Naive / T Central Memory:5378; CD8 Cytotoxic / T Effector Memory:472; MAIT Cell:174; Treg:36	CD4 Naive / T Central Memory:3527; not_available:1770; CD4 T Effector Memory:713; Treg:60	883.0	1205.1284996679183	1.943637492668988
vaccination_study_09	Artifact/Other	leiden:8	5722	Blood Cell	False	RBC	1.4412309707630622	0.9343025326605026	0.5069284381025596	0.9064947127750786	0.10363509262495631	0.28551455535027703	1.9986018874519398	1.0	cluster_parent_insufficient_consensus	Classical Monocyte:3777; Blood Cell:1527; Plasma Cell:291; CD4 Naive / T Central Memory:92	RBC:5717; Non-Classical Monocyte:2; Treg:1; HSC:1	RBC:5717; Non-Classical Monocyte:2; Blood Cell:2; HSC:1	Blood Cell:4637; Classical Monocyte:1080; Conventional DC 2:2; Non-Classical Monocyte:2	Blood Cell:4634; Monocyte:1082; DC:3; RBC:2	Blood Cell:5722	not_available:5357; Memory B Cell:275; CD4 Naive / T Central Memory:44; CD4 T Effector Memory:25	646.0	1284.574736858407	2.2180547370091404
vaccination_study_09	T/NK	T_NK_lineage:5	5379	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.642088906356094	0.7369613277057955	0.9051275786502985	0.7057302086310374	0.05744562186279978	0.5057764321568002	3.5404350250976018	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:4754; CD8 Naive / T Central Memory:150; CD8 Cytotoxic / T Effector Memory:145; NK Cell:133	CD4 Naive / T Central Memory:2356; Treg:2352; CD8 Naive / T Central Memory:368; CD8 Cytotoxic / T Effector Memory:115	Treg:2267; Blood Cell:1997; CD4 Naive / T Central Memory:747; CD8 Naive / T Central Memory:290	CD4 Naive / T Central Memory:4100; Blood Cell:853; CD8 Cytotoxic / T Effector Memory:213; CD4 T Effector Memory:98	T Cell:4710; Blood Cell:664; NK Cell:5	CD4 Naive / T Central Memory:4044; CD8 Naive / T Central Memory:682; CD8 Cytotoxic / T Effector Memory:420; MAIT Cell:122	CD4 Naive / T Central Memory:3043; not_available:1951; CD4 T Effector Memory:276; Treg:109	679.0	1075.4260012195248	2.2005598462787193
vaccination_study_09	T/NK	T_NK_lineage:6	5179	CD8 Naive / T Central Memory	True	CD8 Naive / T Central Memory	1.455007171869534	1.3622952770070442	0.09271189486248987	0.8585488711060303	0.128789341571732	0.3048851129561691	2.134195790693184	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:3320; CD8 Naive / T Central Memory:1705; CD8 Cytotoxic / T Effector Memory:79; Blood Cell:17	CD8 Naive / T Central Memory:2680; CD4 Naive / T Central Memory:1533; Treg:875; CD8 Cytotoxic / T Effector Memory:37	CD8 Naive / T Central Memory:2573; Treg:869; Blood Cell:864; CD4 Naive / T Central Memory:859	CD4 Naive / T Central Memory:3607; CD8 Naive / T Central Memory:1172; Blood Cell:258; CD8 Cytotoxic / T Effector Memory:74	T Cell:4925; Blood Cell:253; NK Cell:1	CD8 Naive / T Central Memory:2923; CD4 Naive / T Central Memory:1997; CD8 Cytotoxic / T Effector Memory:232; MAIT Cell:21	not_available:3039; CD4 Naive / T Central Memory:2067; CD4 T Effector Memory:57; Treg:16	811.0	1113.560311880339	2.095578920941033
vaccination_study_09	T/NK	T_NK_lineage:7	4788	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.915895300256452	0.9504052424607975	0.9654900577956546	0.7945805944555587	0.12050960735171261	0.5812447786131996	4.068713450292398	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:4392; CD8 Naive / T Central Memory:344; CD8 Cytotoxic / T Effector Memory:17; Blood Cell:12	CD4 Naive / T Central Memory:2207; Treg:1771; CD8 Naive / T Central Memory:767; ydT Cell:17	Treg:1763; CD4 Naive / T Central Memory:1496; Blood Cell:785; CD8 Naive / T Central Memory:741	CD4 Naive / T Central Memory:4430; CD8 Naive / T Central Memory:220; Blood Cell:103; CD8 Cytotoxic / T Effector Memory:19	T Cell:4693; Blood Cell:95	CD4 Naive / T Central Memory:3764; CD8 Naive / T Central Memory:943; CD8 Cytotoxic / T Effector Memory:62; Treg:11	CD4 Naive / T Central Memory:3192; not_available:1551; Treg:26; CD4 T Effector Memory:19	782.0	1113.8846486867492	1.9604554118059536
vaccination_study_09	T/NK	T_NK_lineage:8	4521	CD8 Naive / T Central Memory	True	CD8 Naive / T Central Memory	1.5160747242735633	1.1808605364389917	0.3352141878345716	0.8472706487567877	0.1468701614687016	0.33475526906183845	2.3432868834328686	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:2885; CD8 Naive / T Central Memory:1523; CD8 Cytotoxic / T Effector Memory:55; NK Cell:19	CD8 Naive / T Central Memory:2525; Treg:1099; CD4 Naive / T Central Memory:824; CD8 Cytotoxic / T Effector Memory:29	CD8 Naive / T Central Memory:2455; Treg:1095; CD4 Naive / T Central Memory:482; Blood Cell:480	CD4 Naive / T Central Memory:3066; CD8 Naive / T Central Memory:1064; Blood Cell:311; CD8 Cytotoxic / T Effector Memory:66	T Cell:4213; Blood Cell:307; NK Cell:1	CD8 Naive / T Central Memory:3027; CD4 Naive / T Central Memory:1294; CD8 Cytotoxic / T Effector Memory:177; MAIT Cell:18	not_available:2915; CD4 Naive / T Central Memory:1562; CD4 T Effector Memory:32; Treg:12	803.0	1121.605410418788	2.176705789583322
