study	annotation_reason	n_cells
vaccination_study_09	independent_T_NK_lineage_subcluster_to_CD4_Naive_/_T_Central_Memory	49077
vaccination_study_09	independent_Myeloid_lineage_subcluster_to_Classical_Monocyte	26133
vaccination_study_09	independent_T_NK_lineage_subcluster_to_CD8_Cytotoxic_/_T_Effector_Memory	13730
vaccination_study_09	independent_T_NK_lineage_subcluster_to_CD8_Naive_/_T_Central_Memory	11776
vaccination_study_09	independent_B_lineage_subcluster_to_Naive_B_Cell	11350
vaccination_study_09	independent_T_NK_lineage_subcluster_to_NK_Cell	9374
vaccination_study_09	independent_T_NK_lineage_subcluster_to_MAIT_Cell	6316
vaccination_study_09	independent_B_lineage_subcluster_to_Memory_B_Cell	4173
vaccination_study_09	independent_Myeloid_lineage_subcluster_to_Non-Classical_Monocyte	3072
vaccination_study_09	independent_Myeloid_lineage_subcluster_to_Conventional_DC_2	1676
vaccination_study_09	ambiguous_default_blood_cell	1238
vaccination_study_09	independent_Myeloid_lineage_subcluster_to_Plasmacytoid_DC	803
vaccination_study_09	doublet_override	579
vaccination_study_09	independent_B_lineage_subcluster_to_Plasma_Cell_marker_warning	425
vaccination_study_09	independent_other_direct_Platelet	82
vaccination_study_09	independent_Myeloid_lineage_subcluster_to_Conventional_DC_1	52
vaccination_study_09	independent_ambiguous_exact_source_votes_CD4 Naive / T Central Memory	41
vaccination_study_09	independent_other_direct_HSC	37
vaccination_study_09	independent_B_lineage_subcluster_to_B_Cell_marker_warning	20
vaccination_study_09	independent_ambiguous_exact_source_votes_Platelet	2
vaccination_study_09	independent_ambiguous_exact_source_votes_CD8 Naive / T Central Memory	2
vaccination_study_09	independent_ambiguous_exact_source_votes_CD8 Cytotoxic / T Effector Memory	2
