study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	cluster_marker_raw_winner	cluster_marker_assignment_reason	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
infection_study_03	B_lineage	0	8713	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.5855554917938712	1.0	0.41444450820612877	0.3258470102146218	0.08859749799150694	1.8728503385745439	0.33285317434107786	Memory B Cell:4152; Naive B Cell:4121; B Cell:303; Plasma Cell:54; CD4 Naive / T Central Memory:50	Memory B Cell:4707; Naive B Cell:3759; not_available:133; Blood Cell:53; Plasma Cell:50	not_available:8713	screfmapping_missing_for_scope
infection_study_03	B_lineage	1	4080	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.6644763071895425	1.0	0.3355236928104575	0.04962908496732027	0.28589460784313725	2.9675	0.3770433006535945	Plasma Cell:2514; Plasmablast:1418; Memory B Cell:101; NK Cell:27; CD4 Naive / T Central Memory:8	Plasma Cell:4028; Memory B Cell:46; not_available:3; HSC:1; Naive B Cell:1	not_available:4080	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_03	B_lineage	2	1450	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6551068965517242	1.0	0.34489310344827584	0.2588241379310345	0.08606896551724139	2.6206241379310344	1.610003448275862	Naive B Cell:1027; Memory B Cell:351; B Cell:56; NK Cell:5; CD8 Cytotoxic / T Effector Memory:3	Naive B Cell:921; Memory B Cell:502; Plasma Cell:15; not_available:10; gdT Cell:1	not_available:1450	screfmapping_missing_for_scope
infection_study_03	B_lineage	3	11601	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.7457408844065166	1.0	0.25425911559348335	0.1947944142746315	0.059464701318851815	3.0485940867166623	2.3296905439186277	Naive B Cell:10132; Memory B Cell:1193; B Cell:274; HSC:2	Naive B Cell:8128; Memory B Cell:2998; not_available:466; Plasma Cell:6; B Cell:1	not_available:11601	screfmapping_missing_for_scope
infection_study_03	B_lineage	4	15404	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6874980141184757	0.9432617767775253	0.2557637626590496	0.20981141262009867	0.045952350038950915	2.673878175115619	1.5552726181174368	Naive B Cell:11630; Memory B Cell:3102; Plasma Cell:264; B Cell:219; Plasmablast:68	Naive B Cell:7489; Memory B Cell:5885; not_available:1589; Plasma Cell:386; Blood Cell:33	not_available:15404	screfmapping_missing_for_scope
infection_study_03	B_lineage	5	6968	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6802088117106774	1.0	0.3197911882893226	0.24249497703788747	0.07729621125143514	2.673406285878301	1.7973155855338692	Naive B Cell:5281; Memory B Cell:1544; B Cell:134; Plasma Cell:4; CD4 Naive / T Central Memory:4	Naive B Cell:4542; Memory B Cell:2287; not_available:128; Plasma Cell:7; Blood Cell:2	not_available:6968	screfmapping_missing_for_scope
infection_study_03	B_lineage	6	4762	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.6902526949461011	1.0	0.3097473050538989	0.04690606187876242	0.26284124317513646	2.9918101637967243	0.22045709085818288	Plasma Cell:2402; Plasmablast:2315; Memory B Cell:23; NK Cell:8; CD4 Naive / T Central Memory:5	Plasma Cell:4746; Memory B Cell:14; not_available:1; Lymphoid Cell:1	not_available:4762	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_03	B_lineage	7	6291	Memory B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.3984767789649778	0.7383616939228541	0.3398849149578763	0.3398849149578763	0.0	2.500272995782654	2.088224036952579	Memory B Cell:3723; B Cell:1027; Naive B Cell:955; Plasma Cell:374; Plasmablast:160	Memory B Cell:4989; Naive B Cell:602; Plasma Cell:570; not_available:116; HSC:7	not_available:6291	screfmapping_missing_for_scope
infection_study_03	B_lineage	8	9718	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6710321053714756	1.0	0.3289678946285244	0.2532578719901214	0.07571002263840296	2.503075735748096	1.3907892570487752	Naive B Cell:6337; Memory B Cell:3248; B Cell:45; CD4 Naive / T Central Memory:44; Plasma Cell:28	Naive B Cell:5931; Memory B Cell:2846; not_available:753; Plasma Cell:106; Blood Cell:73	not_available:9718	screfmapping_missing_for_scope
infection_study_03	B_lineage	9	7975	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6341768025078369	1.0	0.365823197492163	0.2833278996865204	0.08249529780564263	2.2396689655172413	0.9727097178683384	Naive B Cell:4763; Memory B Cell:2652; B Cell:497; CD4 Naive / T Central Memory:27; Plasma Cell:12	Naive B Cell:4027; Memory B Cell:3734; not_available:184; HSC:16; Plasma Cell:10	not_available:7975	screfmapping_missing_for_scope
