study	lineage	cluster	n_cells	review_priority	priority_score	review_reasons	suggested_action	final_label	marker_assignment	raw_marker_winner	assignment_reason	marker_score	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	llm_review_packet
infection_study_03	B_lineage	0	8713	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.5855554917938712	1.8728503385745439	0.33285317434107786	Memory B Cell:4152; Naive B Cell:4121; B Cell:303; Plasma Cell:54; CD4 Naive / T Central Memory:50	Memory B Cell:4707; Naive B Cell:3759; not_available:133; Blood Cell:53; Plasma Cell:50	not_available:8713	Study=infection_study_03; lineage=B_lineage; cluster=0; cells=8713; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.586; best_total_score=1.873; score_margin=0.333; CellTypist=Memory B Cell:4152; Naive B Cell:4121; B Cell:303; Plasma Cell:54; CD4 Naive / T Central Memory:50; PanHuman=Memory B Cell:4707; Naive B Cell:3759; not_available:133; Blood Cell:53; Plasma Cell:50; scRefMap=not_available:8713; review_reasons=screfmapping_not_available.
infection_study_03	B_lineage	1	4080	high	7	marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.6644763071895425	2.9675	0.3770433006535945	Plasma Cell:2514; Plasmablast:1418; Memory B Cell:101; NK Cell:27; CD4 Naive / T Central Memory:8	Plasma Cell:4028; Memory B Cell:46; not_available:3; HSC:1; Naive B Cell:1	not_available:4080	Study=infection_study_03; lineage=B_lineage; cluster=1; cells=4080; final=Plasma Cell; marker_assignment=Plasmablast; raw_marker_winner=Plasmablast; assignment_reason=raw_marker_winner; marker_score=0.664; best_total_score=2.967; score_margin=0.377; CellTypist=Plasma Cell:2514; Plasmablast:1418; Memory B Cell:101; NK Cell:27; CD4 Naive / T Central Memory:8; PanHuman=Plasma Cell:4028; Memory B Cell:46; not_available:3; HSC:1; Naive B Cell:1; scRefMap=not_available:4080; review_reasons=marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_03	B_lineage	2	1450	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6551068965517242	2.6206241379310344	1.610003448275862	Naive B Cell:1027; Memory B Cell:351; B Cell:56; NK Cell:5; CD8 Cytotoxic / T Effector Memory:3	Naive B Cell:921; Memory B Cell:502; Plasma Cell:15; not_available:10; gdT Cell:1	not_available:1450	Study=infection_study_03; lineage=B_lineage; cluster=2; cells=1450; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.655; best_total_score=2.621; score_margin=1.610; CellTypist=Naive B Cell:1027; Memory B Cell:351; B Cell:56; NK Cell:5; CD8 Cytotoxic / T Effector Memory:3; PanHuman=Naive B Cell:921; Memory B Cell:502; Plasma Cell:15; not_available:10; gdT Cell:1; scRefMap=not_available:1450; review_reasons=screfmapping_not_available.
infection_study_03	B_lineage	3	11601	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.7457408844065166	3.0485940867166623	2.3296905439186277	Naive B Cell:10132; Memory B Cell:1193; B Cell:274; HSC:2	Naive B Cell:8128; Memory B Cell:2998; not_available:466; Plasma Cell:6; B Cell:1	not_available:11601	Study=infection_study_03; lineage=B_lineage; cluster=3; cells=11601; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.746; best_total_score=3.049; score_margin=2.330; CellTypist=Naive B Cell:10132; Memory B Cell:1193; B Cell:274; HSC:2; PanHuman=Naive B Cell:8128; Memory B Cell:2998; not_available:466; Plasma Cell:6; B Cell:1; scRefMap=not_available:11601; review_reasons=screfmapping_not_available.
infection_study_03	B_lineage	4	15404	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6874980141184757	2.673878175115619	1.5552726181174368	Naive B Cell:11630; Memory B Cell:3102; Plasma Cell:264; B Cell:219; Plasmablast:68	Naive B Cell:7489; Memory B Cell:5885; not_available:1589; Plasma Cell:386; Blood Cell:33	not_available:15404	Study=infection_study_03; lineage=B_lineage; cluster=4; cells=15404; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.687; best_total_score=2.674; score_margin=1.555; CellTypist=Naive B Cell:11630; Memory B Cell:3102; Plasma Cell:264; B Cell:219; Plasmablast:68; PanHuman=Naive B Cell:7489; Memory B Cell:5885; not_available:1589; Plasma Cell:386; Blood Cell:33; scRefMap=not_available:15404; review_reasons=screfmapping_not_available.
infection_study_03	B_lineage	5	6968	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6802088117106774	2.673406285878301	1.7973155855338692	Naive B Cell:5281; Memory B Cell:1544; B Cell:134; Plasma Cell:4; CD4 Naive / T Central Memory:4	Naive B Cell:4542; Memory B Cell:2287; not_available:128; Plasma Cell:7; Blood Cell:2	not_available:6968	Study=infection_study_03; lineage=B_lineage; cluster=5; cells=6968; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.680; best_total_score=2.673; score_margin=1.797; CellTypist=Naive B Cell:5281; Memory B Cell:1544; B Cell:134; Plasma Cell:4; CD4 Naive / T Central Memory:4; PanHuman=Naive B Cell:4542; Memory B Cell:2287; not_available:128; Plasma Cell:7; Blood Cell:2; scRefMap=not_available:6968; review_reasons=screfmapping_not_available.
infection_study_03	B_lineage	6	4762	high	7	marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.6902526949461011	2.9918101637967243	0.22045709085818288	Plasma Cell:2402; Plasmablast:2315; Memory B Cell:23; NK Cell:8; CD4 Naive / T Central Memory:5	Plasma Cell:4746; Memory B Cell:14; not_available:1; Lymphoid Cell:1	not_available:4762	Study=infection_study_03; lineage=B_lineage; cluster=6; cells=4762; final=Plasma Cell; marker_assignment=Plasmablast; raw_marker_winner=Plasmablast; assignment_reason=raw_marker_winner; marker_score=0.690; best_total_score=2.992; score_margin=0.220; CellTypist=Plasma Cell:2402; Plasmablast:2315; Memory B Cell:23; NK Cell:8; CD4 Naive / T Central Memory:5; PanHuman=Plasma Cell:4746; Memory B Cell:14; not_available:1; Lymphoid Cell:1; scRefMap=not_available:4762; review_reasons=marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_03	B_lineage	7	6291	low	3	screfmapping_not_available	accept	Memory B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.3984767789649778	2.500272995782654	2.088224036952579	Memory B Cell:3723; B Cell:1027; Naive B Cell:955; Plasma Cell:374; Plasmablast:160	Memory B Cell:4989; Naive B Cell:602; Plasma Cell:570; not_available:116; HSC:7	not_available:6291	Study=infection_study_03; lineage=B_lineage; cluster=7; cells=6291; final=Memory B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.398; best_total_score=2.500; score_margin=2.088; CellTypist=Memory B Cell:3723; B Cell:1027; Naive B Cell:955; Plasma Cell:374; Plasmablast:160; PanHuman=Memory B Cell:4989; Naive B Cell:602; Plasma Cell:570; not_available:116; HSC:7; scRefMap=not_available:6291; review_reasons=screfmapping_not_available.
infection_study_03	B_lineage	8	9718	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6710321053714756	2.503075735748096	1.3907892570487752	Naive B Cell:6337; Memory B Cell:3248; B Cell:45; CD4 Naive / T Central Memory:44; Plasma Cell:28	Naive B Cell:5931; Memory B Cell:2846; not_available:753; Plasma Cell:106; Blood Cell:73	not_available:9718	Study=infection_study_03; lineage=B_lineage; cluster=8; cells=9718; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.671; best_total_score=2.503; score_margin=1.391; CellTypist=Naive B Cell:6337; Memory B Cell:3248; B Cell:45; CD4 Naive / T Central Memory:44; Plasma Cell:28; PanHuman=Naive B Cell:5931; Memory B Cell:2846; not_available:753; Plasma Cell:106; Blood Cell:73; scRefMap=not_available:9718; review_reasons=screfmapping_not_available.
infection_study_03	B_lineage	9	7975	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6341768025078369	2.2396689655172413	0.9727097178683384	Naive B Cell:4763; Memory B Cell:2652; B Cell:497; CD4 Naive / T Central Memory:27; Plasma Cell:12	Naive B Cell:4027; Memory B Cell:3734; not_available:184; HSC:16; Plasma Cell:10	not_available:7975	Study=infection_study_03; lineage=B_lineage; cluster=9; cells=7975; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.634; best_total_score=2.240; score_margin=0.973; CellTypist=Naive B Cell:4763; Memory B Cell:2652; B Cell:497; CD4 Naive / T Central Memory:27; Plasma Cell:12; PanHuman=Naive B Cell:4027; Memory B Cell:3734; not_available:184; HSC:16; Plasma Cell:10; scRefMap=not_available:7975; review_reasons=screfmapping_not_available.
