study	annotation_reason	n_cells
infection_study_03	independent_T_NK_lineage_subcluster_to_CD4_Naive_/_T_Central_Memory	184675
infection_study_03	independent_Myeloid_lineage_subcluster_to_Classical_Monocyte	130556
infection_study_03	independent_T_NK_lineage_subcluster_to_NK_Cell	102936
infection_study_03	independent_T_NK_lineage_subcluster_to_CD8_Cytotoxic_/_T_Effector_Memory	102353
infection_study_03	independent_B_lineage_subcluster_to_Naive_B_Cell	61829
infection_study_03	independent_other_direct_Platelet	11363
infection_study_03	independent_Myeloid_lineage_subcluster_to_Non-Classical_Monocyte	10769
infection_study_03	independent_T_NK_lineage_subcluster_to_CD8_Naive_/_T_Central_Memory	9049
infection_study_03	independent_B_lineage_subcluster_to_Plasma_Cell	8842
infection_study_03	independent_Myeloid_lineage_subcluster_to_Conventional_DC_2	8329
infection_study_03	independent_B_lineage_subcluster_to_Memory_B_Cell	6291
infection_study_03	independent_Myeloid_lineage_subcluster_to_Plasmacytoid_DC	4335
infection_study_03	independent_other_direct_HSC	3063
infection_study_03	ambiguous_default_blood_cell	2324
infection_study_03	independent_ambiguous_exact_source_votes_HSC	14
infection_study_03	independent_ambiguous_exact_source_votes_Platelet	8
infection_study_03	independent_ambiguous_exact_source_votes_NK Cell	2
infection_study_03	independent_ambiguous_exact_source_votes_CD4 Naive / T Central Memory	1
