study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	cluster_marker_raw_winner	cluster_marker_assignment_reason	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
vaccination_study_04	B_lineage	0	31	B Cell	Plasmablast	Plasmablast	raw_marker_winner	0.5903225806451613	1.0	0.4096774193548387	0.3870967741935484	0.022580645161290318	0.9185483870967741	0.3282258064516128	Blood Cell:21; HSC:3; Classical Monocyte:2; T Cell:2; Naive B Cell:2	Blood Cell:23; HSC:5; B Cell:3	not_available:25; Naive B Cell:6	marker_final_disagreement;screfmapping_missing_for_scope
vaccination_study_04	B_lineage	1	22	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.9363636363636364	1.0	0.06363636363636363	0.0	0.06363636363636363	3.109090909090909	0.5727272727272723	Plasma Cell:22	Plasma Cell:22	Naive B Cell:16; Memory B Cell:4; Plasma Cell:2	marker_final_disagreement
vaccination_study_04	B_lineage	2	19	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.7894736842105263	1.0	0.21052631578947367	0.06315789473684211	0.14736842105263157	3.126315789473684	0.736842105263158	Plasma Cell:19	Plasma Cell:19	Memory B Cell:13; Naive B Cell:4; Plasma Cell:2	marker_final_disagreement
vaccination_study_04	B_lineage	3	19	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.7842105263157895	1.0	0.21578947368421053	0.031578947368421054	0.18421052631578946	3.5052631578947366	0.8368421052631576	Plasma Cell:11; Plasmablast:7; Plasmacytoid DC:1	Plasma Cell:19	Memory B Cell:10; Plasma Cell:8; not_available:1	marker_final_disagreement
vaccination_study_04	B_lineage	4	16	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.671875	1.0	0.328125	0.0	0.328125	3.3	1.0281249999999997	Plasma Cell:16	Plasma Cell:16	Memory B Cell:7; Naive B Cell:5; Plasma Cell:4	marker_final_disagreement
vaccination_study_04	B_lineage	6	12	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.8041666666666667	1.0	0.1958333333333333	0.049999999999999996	0.14583333333333331	2.7333333333333334	0.8625	Plasma Cell:8; Memory B Cell:2; NK Cell:1; Blood Cell:1	Plasma Cell:8; Blood Cell:2; Memory B Cell:2	Plasma Cell:6; not_available:2; Memory B Cell:2; Naive B Cell:2	marker_final_disagreement
vaccination_study_04	B_lineage	8	5	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.86	1.0	0.13999999999999999	0.0	0.13999999999999999	2.48	0.33999999999999986	Plasma Cell:4; Blood Cell:1	Plasma Cell:4; B Cell:1	Naive B Cell:3; Memory B Cell:2	marker_final_disagreement
vaccination_study_04	B_lineage	9	2	B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.51	1.0	0.49	0.49	0.0	0.51	0.10999999999999999	Blood Cell:2	Blood Cell:2	not_available:2	marker_final_disagreement;screfmapping_missing_for_scope
vaccination_study_04	T_NK_lineage	0	38	T Cell	gdT Cell	gdT Cell	raw_marker_winner	0.775	1.0	0.225	0.12631578947368421	0.09868421052631579	0.775	0.23570175438596486	Plasmacytoid DC:38	Plasmacytoid DC:38	not_available:38	marker_final_disagreement;screfmapping_missing_for_scope
vaccination_study_04	T_NK_lineage	1	37	NK Cell	NK Cell	NK Cell	raw_marker_winner	0.48702702702702705	0.972972972972973	0.485945945945946	0.485945945945946	0.0	1.38972972972973	0.8449558064680939	Classical Monocyte:19; Non-Classical Monocyte:12; NK Cell:3; Conventional DC 2:2; CD4 Naive / T Central Memory:1	Non-Classical Monocyte:17; Classical Monocyte:10; Blood Cell:7; Conventional DC 2:3	not_available:36; CD4 Naive / T Central Memory:1	screfmapping_missing_for_scope
