study	predicted_cell_type	n_cells
vaccination_study_04	Classical Monocyte	33893
vaccination_study_04	Non-Classical Monocyte	15993
vaccination_study_04	Conventional DC 2	7981
vaccination_study_04	Plasmacytoid DC	5303
vaccination_study_04	Conventional DC 1	1089
vaccination_study_04	Doublet	647
vaccination_study_04	HSC	346
vaccination_study_04	NK Cell	298
vaccination_study_04	Blood Cell	256
vaccination_study_04	Plasma Cell	115
vaccination_study_04	T Cell	77
vaccination_study_04	B Cell	33
vaccination_study_04	CD4 Naive / T Central Memory	28
vaccination_study_04	Platelet	4
vaccination_study_04	CD4 T Effector Memory	2
