study	predicted_cell_type	n_cells
vaccination_study_04	Classical Monocyte	32748
vaccination_study_04	Non-Classical Monocyte	15624
vaccination_study_04	Conventional DC 2	7770
vaccination_study_04	Plasmacytoid DC	5615
vaccination_study_04	Conventional DC 1	1099
vaccination_study_04	Myeloid Cell	984
vaccination_study_04	HSC	884
vaccination_study_04	Doublet	647
vaccination_study_04	Blood Cell	302
vaccination_study_04	NK Cell	210
vaccination_study_04	Plasma Cell	82
vaccination_study_04	Platelet	26
vaccination_study_04	CD4 Naive / T Central Memory	26
vaccination_study_04	T Cell	23
vaccination_study_04	B Cell	12
vaccination_study_04	Plasmablast	10
vaccination_study_04	MAIT Cell	3
