study	annotation_reason	n_cells
vaccination_study_04	independent_Myeloid_lineage_subcluster_to_Classical_Monocyte	33857
vaccination_study_04	independent_Myeloid_lineage_subcluster_to_Non-Classical_Monocyte	15988
vaccination_study_04	independent_Myeloid_lineage_subcluster_to_Conventional_DC_2	7979
vaccination_study_04	independent_Myeloid_lineage_subcluster_to_Plasmacytoid_DC	5181
vaccination_study_04	independent_Myeloid_lineage_subcluster_to_Conventional_DC_1	1089
vaccination_study_04	doublet_override	647
vaccination_study_04	independent_T_NK_lineage_subcluster_to_NK_Cell	298
vaccination_study_04	independent_other_direct_HSC	289
vaccination_study_04	ambiguous_default_blood_cell	256
vaccination_study_04	independent_ambiguous_exact_source_votes_Plasmacytoid DC	122
vaccination_study_04	independent_B_lineage_subcluster_to_Plasma_Cell	115
vaccination_study_04	independent_T_NK_lineage_subcluster_to_T_Cell_marker_critical	64
vaccination_study_04	independent_ambiguous_exact_source_votes_HSC	57
vaccination_study_04	independent_ambiguous_exact_source_votes_Classical Monocyte	36
vaccination_study_04	independent_B_lineage_subcluster_to_B_Cell	33
vaccination_study_04	independent_T_NK_lineage_subcluster_to_CD4_Naive_/_T_Central_Memory	28
vaccination_study_04	independent_T_NK_lineage_subcluster_to_T_Cell	13
vaccination_study_04	independent_ambiguous_exact_source_votes_Non-Classical Monocyte	5
vaccination_study_04	independent_other_direct_Platelet	4
vaccination_study_04	independent_ambiguous_exact_source_votes_Conventional DC 2	2
vaccination_study_04	independent_T_NK_lineage_subcluster_to_CD4_T_Effector_Memory	2
