lineage	cluster	n_cells	chosen_label	accepted	score_margin	calibrated_cluster_confidence	marker_availability_alert	top_celltypist	top_azimuth_l2	top_panhuman_fine	top_marker	top_screfmapping
B_lineage	0	12	Plasma Cell	True	2.7476525643936527	0.7705555555555555	pass	Plasma Cell:9; Plasmacytoid DC:2; Blood Cell:1	Plasmablast:9; Blood Cell:1; Lymphoid Cell:1; CD4 Naive / T Central Memory:1	Plasma Cell:11; Blood Cell:1	Plasma Cell:10; B Cell:2	Memory B Cell:5; Naive B Cell:3; Plasma Cell:2; not_available:2
B_lineage	1	10	Plasma Cell	True	2.0440611518958605	0.74	pass	Plasma Cell:8; Blood Cell:2	Plasmablast:8; Lymphoid Cell:2	Plasma Cell:8; Blood Cell:1; Lymphoid Cell:1	Plasma Cell:10	Memory B Cell:7; not_available:2; Naive B Cell:1
B_lineage	2	10	Plasma Cell	True	2.412215999394536	0.74	pass	Plasma Cell:10	Plasmablast:10	Plasma Cell:10	Plasma Cell:10	Naive B Cell:6; Memory B Cell:4
B_lineage	3	10	Plasma Cell	True	3.335820782562628	0.8316666666666666	pass	Plasmablast:7; Plasma Cell:3	Plasmablast:10	Plasma Cell:10	Plasma Cell:10	Plasma Cell:5; Memory B Cell:5
B_lineage	4	9	Plasma Cell	True	2.066256296408419	0.7807407407407407	pass	Plasma Cell:8; Blood Cell:1	Plasmablast:8; Lymphoid Cell:1	Plasma Cell:8; B Cell:1	Plasma Cell:8; B Cell:1	Naive B Cell:4; Memory B Cell:3; Plasma Cell:2
B_lineage	5	9	Plasma Cell	True	1.4938654691927984	0.7807407407407407	pass	Plasma Cell:6; Blood Cell:1; B Cell:1; Naive B Cell:1	Plasmablast:6; HSC:2; Lymphoid Cell:1	Plasma Cell:6; Blood Cell:3	Plasma Cell:6; B Cell:3	Memory B Cell:4; Plasma Cell:2; Naive B Cell:2; not_available:1
B_lineage	6	8	Plasma Cell	True	0.4811851963974876	0.6639071621382981	pass	Plasma Cell:4; Memory B Cell:2; Naive B Cell:2	Plasmablast:4; B Cell:4	Plasma Cell:4; Memory B Cell:2; Naive B Cell:2	Plasma Cell:4; B Cell:4	Memory B Cell:4; Naive B Cell:4
B_lineage	7	8	Plasma Cell	True	1.98509044123212	0.74	pass	Plasma Cell:8	Plasmablast:8	Plasma Cell:8	Plasma Cell:8	Naive B Cell:6; Memory B Cell:2
B_lineage	10	6	Plasma Cell	True	2.412068922021242	0.7705555555555555	pass	Plasma Cell:4; Blood Cell:2	Plasmablast:4; HSC:2	Plasma Cell:4; Blood Cell:2	Plasma Cell:6	Memory B Cell:3; not_available:2; Plasma Cell:1
B_lineage	11	6	Plasma Cell	True	3.0131083024294254	0.8500000000000001	pass	Plasma Cell:6	Plasmablast:6	Plasma Cell:6	Plasma Cell:6	Plasma Cell:4; Naive B Cell:2
