lineage	cluster	n_cells	chosen_label	accepted	score_margin	calibrated_cluster_confidence	marker_availability_alert	top_celltypist	top_azimuth_l2	top_panhuman_fine	top_marker	top_screfmapping
B_lineage	0	1689	Naive B Cell	True	3.661546729243964	0.8500000000000001	pass	Naive B Cell:1076; B Cell:546; Memory B Cell:54; Blood Cell:6; CD4 Naive / T Central Memory:5	Naive B Cell:1420; Memory B Cell:189; B Cell:60; Treg:12; RBC:7	Naive B Cell:1395; Memory B Cell:203; Blood Cell:90; B Cell:1	B Cell:1680; Monocyte:7; Plasma Cell:1; RBC:1	Naive B Cell:1556; Memory B Cell:127; not_available:5; Plasma Cell:1
B_lineage	1	1489	Naive B Cell	True	3.165856055774163	0.8500000000000001	pass	Naive B Cell:848; B Cell:436; Memory B Cell:153; Blood Cell:28; CD4 Naive / T Central Memory:19	Naive B Cell:774; Memory B Cell:421; Treg:180; B Cell:55; RBC:51	Naive B Cell:1086; Blood Cell:276; Memory B Cell:114; B Cell:12; Plasma Cell:1	B Cell:1484; RBC:3; Monocyte:2	Naive B Cell:1260; Memory B Cell:129; not_available:88; Treg:7; Plasma Cell:4
B_lineage	2	1330	Naive B Cell	True	3.3037104129643917	0.8500000000000001	pass	Naive B Cell:815; B Cell:350; Memory B Cell:120; CD4 Naive / T Central Memory:21; Plasma Cell:11	Naive B Cell:785; Memory B Cell:246; Treg:198; B Cell:51; RBC:44	Naive B Cell:861; Blood Cell:379; Memory B Cell:77; B Cell:9; Plasma Cell:4	B Cell:1323; Monocyte:3; CD4 T Cell (ab):2; Plasma Cell:1; Plasmacytoid DC:1	Naive B Cell:1087; not_available:122; Memory B Cell:112; Treg:7; Plasma Cell:1
B_lineage	3	1205	Memory B Cell	True	3.030395112889397	0.833792091858178	pass	Memory B Cell:844; B Cell:304; Naive B Cell:36; CD4 Naive / T Central Memory:11; Blood Cell:7	Memory B Cell:896; Treg:162; B Cell:74; RBC:35; Naive B Cell:33	Memory B Cell:776; Naive B Cell:223; Blood Cell:195; B Cell:7; Plasma Cell:4	B Cell:1205	Memory B Cell:1049; Naive B Cell:89; not_available:60; Treg:5; Plasma Cell:2
B_lineage	4	1142	Memory B Cell	True	3.427242071665209	0.8355733991224383	pass	Memory B Cell:848; B Cell:267; Naive B Cell:16; CD4 Naive / T Central Memory:5; Blood Cell:4	Memory B Cell:1019; Treg:73; B Cell:21; Naive B Cell:17; RBC:11	Memory B Cell:805; Naive B Cell:193; Blood Cell:136; B Cell:5; Plasma Cell:3	B Cell:1141; RBC:1	Memory B Cell:1099; not_available:26; Naive B Cell:15; Plasma Cell:1; Treg:1
B_lineage	5	918	Naive B Cell	True	3.771142587580267	0.8500000000000001	pass	B Cell:536; Naive B Cell:326; Blood Cell:22; CD4 Naive / T Central Memory:19; Memory B Cell:13	Naive B Cell:687; Memory B Cell:104; B Cell:75; Treg:30; RBC:21	Naive B Cell:691; Blood Cell:140; Memory B Cell:50; B Cell:36; Plasma Cell:1	B Cell:918	Naive B Cell:860; Memory B Cell:40; not_available:13; Plasma Cell:3; Treg:2
B_lineage	6	762	Naive B Cell	True	3.646302261838591	0.8500000000000001	pass	Naive B Cell:481; B Cell:222; Memory B Cell:41; CD4 Naive / T Central Memory:9; Blood Cell:7	Naive B Cell:509; Memory B Cell:136; Treg:76; B Cell:23; RBC:16	Naive B Cell:546; Blood Cell:177; Memory B Cell:33; B Cell:4; Plasma Cell:2	B Cell:762	Naive B Cell:677; not_available:50; Memory B Cell:34; Treg:1
B_lineage	7	725	Naive B Cell	True	3.121682840417459	0.8500000000000001	pass	Naive B Cell:445; B Cell:193; Memory B Cell:72; Blood Cell:7; CD4 Naive / T Central Memory:5	Naive B Cell:520; Memory B Cell:121; B Cell:61; Treg:14; CD4 Naive / T Central Memory:7	Naive B Cell:539; Memory B Cell:119; Blood Cell:62; B Cell:5	B Cell:724; Plasma Cell:1	Naive B Cell:608; Memory B Cell:107; not_available:10
B_lineage	8	636	Naive B Cell	True	3.7919329377126623	0.8500000000000001	pass	Naive B Cell:457; B Cell:146; Memory B Cell:21; CD4 Naive / T Central Memory:6; Blood Cell:4	Naive B Cell:463; Memory B Cell:114; Treg:48; B Cell:6; RBC:4	Naive B Cell:520; Blood Cell:92; Memory B Cell:24	B Cell:636	Naive B Cell:586; not_available:27; Memory B Cell:20; Treg:3
B_lineage	9	560	Naive B Cell	True	2.952721032539909	0.8500000000000001	pass	Naive B Cell:324; B Cell:154; Memory B Cell:63; CD4 Naive / T Central Memory:10; Blood Cell:5	Naive B Cell:257; Memory B Cell:143; Treg:119; B Cell:21; RBC:19	Naive B Cell:322; Blood Cell:192; Memory B Cell:45; B Cell:1	B Cell:560	Naive B Cell:425; not_available:82; Memory B Cell:52; Treg:1
B_lineage	10	543	Naive B Cell	True	3.3117801087077234	0.8500000000000001	pass	Naive B Cell:349; B Cell:126; Memory B Cell:55; Blood Cell:6; CD4 Naive / T Central Memory:6	Naive B Cell:309; Memory B Cell:152; Treg:50; B Cell:16; RBC:13	Naive B Cell:399; Blood Cell:102; Memory B Cell:40; B Cell:2	B Cell:543	Naive B Cell:474; Memory B Cell:36; not_available:30; Plasma Cell:3
B_lineage	11	512	Naive B Cell	True	3.433774828522435	0.8500000000000001	pass	Naive B Cell:323; B Cell:152; Memory B Cell:30; CD4 Naive / T Central Memory:3; Plasma Cell:2	Naive B Cell:319; Memory B Cell:124; Treg:45; B Cell:20; CD4 Naive / T Central Memory:3	Naive B Cell:384; Blood Cell:93; Memory B Cell:31; B Cell:4	B Cell:512	Naive B Cell:442; not_available:35; Memory B Cell:33; Plasma Cell:2
B_lineage	12	489	Memory B Cell	True	2.97976287119136	0.8500000000000001	pass	Memory B Cell:255; B Cell:218; Naive B Cell:12; Blood Cell:3; CD4 Naive / T Central Memory:1	Memory B Cell:278; B Cell:189; Naive B Cell:17; Treg:3; RBC:2	Memory B Cell:310; Naive B Cell:158; Blood Cell:20; B Cell:1	B Cell:489	Memory B Cell:473; Naive B Cell:16
B_lineage	13	446	Naive B Cell	True	3.421899418411667	0.8500000000000001	pass	Naive B Cell:289; B Cell:109; Memory B Cell:38; Blood Cell:6; CD4 Naive / T Central Memory:4	Naive B Cell:288; Memory B Cell:89; Treg:53; B Cell:11; RBC:5	Naive B Cell:331; Blood Cell:86; Memory B Cell:27; B Cell:2	B Cell:446	Naive B Cell:382; Memory B Cell:34; not_available:27; Plasma Cell:2; Treg:1
B_lineage	14	438	Memory B Cell	True	3.1051434379163783	0.8500000000000001	pass	Memory B Cell:249; B Cell:185; Plasma Cell:1; CD4 Naive / T Central Memory:1; Treg:1	Memory B Cell:386; B Cell:50; RBC:1; CD4 T Cell (ab):1	Memory B Cell:250; Naive B Cell:161; Blood Cell:26; B Cell:1	B Cell:438	Memory B Cell:437; Treg:1
