final_broad_lineage	tool	covered_n	exact_final_concordance	broad_final_concordance
B	CellTypist	15544	0.5965002573340196	0.9781909418425115
B	Azimuth PBMC L2	15544	0.6571667524446732	0.8954580545548122
B	Azimuth PBMC L3	15544	0.010229027277406074	0.010229027277406074
B	Pan-human Azimuth fine	15544	0.7070252187339167	0.838780236747298
B	Pan-human Azimuth medium	15544	0.0	0.8318322182192486
B	Cluster consensus	15544	0.9332861554297478	0.998327328872877
B	Marker score	15544	0.009907359752959342	0.9980056613484303
B	screfmap scoped	14857	0.9088645083125799	0.997442283098876
T/NK	CellTypist	90667	0.7631111650324816	0.9855846118212801
T/NK	Azimuth PBMC L2	90667	0.5555053106422403	0.9903051827015342
T/NK	Azimuth PBMC L3	90667	0.17419788897834934	0.4716710600328675
T/NK	Pan-human Azimuth fine	90667	0.7009496288616586	0.9178311844441749
T/NK	Pan-human Azimuth medium	90667	0.08924967187620633	0.9276362954547961
T/NK	Cluster consensus	90667	0.7510450329226731	0.9980036838099859
T/NK	Marker score	90667	0.12242602049257172	0.9815147738427432
T/NK	screfmap scoped	40619	0.8615180088136094	1.0
Myeloid/DC	CellTypist	32574	0.8207773070547062	0.9330447596242402
Myeloid/DC	Azimuth PBMC L2	32574	0.22692945293792596	0.2552956345551667
Myeloid/DC	Azimuth PBMC L3	32574	0.18622214035734022	0.2097685270461104
Myeloid/DC	Pan-human Azimuth fine	32574	0.7512740222263155	0.8225578682384724
Myeloid/DC	Pan-human Azimuth medium	32574	0.0	0.8232025541843188
Myeloid/DC	Cluster consensus	32574	0.6383311843801805	0.694234665684288
Myeloid/DC	Marker score	32574	0.0790200773623135	0.998649229446798
Myeloid/DC	screfmap scoped	282	0.0	0.0
Artifact/Other	CellTypist	1169	0.35243798118049613	0.3866552609067579
Artifact/Other	Azimuth PBMC L2	1169	0.12147134302822926	0.7399486740804107
Artifact/Other	Azimuth PBMC L3	1169	0.1377245508982036	0.8716852010265184
Artifact/Other	Pan-human Azimuth fine	1169	0.4644995722840034	0.6441402908468776
Artifact/Other	Pan-human Azimuth medium	1169	0.43028229255774164	0.6441402908468776
Artifact/Other	Cluster consensus	1169	0.4037639007698888	0.6090675791274593
Artifact/Other	Marker score	1169	0.07613344739093242	0.11976047904191617
Artifact/Other	screfmap scoped	270	0.0	0.0
