study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Myeloid Cell	parent	1455	LYZ,LST1,TYROBP,CST3,FCER1G	LYZ,LST1	CD3D,CD79A,MS4A1,NKG7	3.1132848254486256	3.1501907604584583	0.07381187001966528	1.0	0.9140745167680074	4.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Monocyte	parent	1455	LYZ,LST1,FCN1,S100A8,S100A9,MS4A7,FCGR3A	LYZ,LST1	CD3D,MS4A1,CLEC4C	2.3294757470805543	2.333250753365724	0.007550012570339654	1.0	0.5538426026220891	9.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Classical Monocyte	terminal	1455	LYZ,LST1,FCN1,VCAN,S100A8,S100A9,CTSS,LGALS3	FCN1,VCAN,S100A8	FCGR3A,MS4A7,CD1C,CLEC4C	1.6458747790006223	2.193034337248487	1.0943191164957289	1.0	0.12132847581553044	11.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Non-Classical Monocyte	terminal	1455	FCGR3A,MS4A7,CX3CR1,LST1,IFITM3,RHOC	FCGR3A,MS4A7,CX3CR1	S100A8,S100A9,VCAN,CD1C	1.649621079635101	2.1405383908496005	0.9818346224289989	1.0	1.0	1.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Intermediate Monocyte	terminal	1455	FCN1,LST1,MS4A7,HLA-DRA,CD74,S100A8	FCN1,MS4A7,HLA-DRA	CD1C,CLEC4C,NKG7	2.5062666885887634	2.5498489567504308	0.08716453632333435	1.0	0.7592672489447092	6.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Granulocyte	parent	1455	S100A8,S100A9,CSF3R,FCGR3B	S100A8,S100A9	CD3D,MS4A1	1.0235760187442156	1.0292385281719703	0.01132501885550948	1.0	0.08958792933760584	12.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Neutrophil	terminal	1455	S100A8,S100A9,FCGR3B,CSF3R,CXCR2,NAMPT	S100A8,S100A9,FCGR3B	CD3D,MS4A1,CD79A	0.9206189872251069	0.928150142874368	0.015062311298522205	1.0	0.1250503966942985	10.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Eosinophil	terminal	1455	CLC,RNASE2,RNASE3,PRG2,SIGLEC8,IL5RA	CLC,RNASE2,RNASE3	S100A8,CD3D,MS4A1	-0.2157489924650012	0.0036185123871282205	0.4387350097042588	1.0	0.9276666139526589	2.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Basophil	terminal	1455	MS4A2,CPA3,HDC,GATA2,IL3RA,KIT	MS4A2,CPA3,HDC	CD3D,MS4A1,LST1	-0.5514137487077632	0.046601768191327754	1.1960310337981817	1.0	0.0	13.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Mast Cell	terminal	1455	TPSAB1,TPSB2,CPA3,KIT,MS4A2,HDC	TPSAB1,TPSB2,CPA3	CD3D,MS4A1,LST1	-0.5978025241798689	0.00021299271922204364	1.1960310337981817	1.0	0.0	14.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	DC	parent	1455	HLA-DRA,CD74,CST3,FCER1A,CD1C,CLEC4C	HLA-DRA,CD74	CD3D,MS4A1,S100A8	1.3706562670628366	1.5900237719149661	0.4387350097042588	1.0	0.6590399285607458	8.0
