study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	cluster_marker_raw_winner	cluster_marker_assignment_reason	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
infection_study_01	B_lineage	2	408	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.5373039215686275	0.9901960784313726	0.45289215686274514	0.4185784313725491	0.03431372549019608	4.058512712497405	3.306502908575837	Memory B Cell:383; Naive B Cell:21; B Cell:4	Memory B Cell:404; Naive B Cell:3; Blood Cell:1	Memory B Cell:396; Naive B Cell:12	marker_final_disagreement
infection_study_01	B_lineage	22	85	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.6620392156862744	1.0	0.3379607843137255	0.08619607843137254	0.25176470588235295	4.129411764705882	1.7261960784313723	Plasma Cell:73; Plasmablast:12	Plasma Cell:84; Blood Cell:1	Plasma Cell:80; Naive B Cell:3; Memory B Cell:2	marker_final_disagreement
infection_study_01	B_lineage	3	402	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.32032338308457714	0.7213930348258707	0.40106965174129355	0.3422388059701493	0.05883084577114427	3.7849237616543574	2.879028239266298	Memory B Cell:347; Naive B Cell:48; B Cell:7	Memory B Cell:376; Naive B Cell:21; Blood Cell:5	Memory B Cell:355; Naive B Cell:46; Plasma Cell:1	marker_final_disagreement;weak_marker_specificity
infection_study_01	T_NK_lineage	0	1329	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	raw_marker_winner	0.5396802106847254	1.0	0.4603197893152747	0.06031978931527464	0.4	3.115752445447705	2.589115876598947	CD8 Cytotoxic / T Effector Memory:1318; NK Cell:5; Treg:5; MAIT Cell:1	CD8 Cytotoxic / T Effector Memory:1302; Blood Cell:16; Treg:5; gdT Cell:3; NK Cell:2	not_available:1328; CD4 T Effector Memory:1	screfmapping_missing_for_scope
infection_study_01	T_NK_lineage	1	1307	NK Cell	NKT Cell	NKT Cell	raw_marker_winner	0.8639097169089518	1.0	0.1360902830910482	0.06011476664116297	0.07597551644988523	3.0051813312930378	1.778528691660291	NK Cell:795; CD8 Cytotoxic / T Effector Memory:511; gdT Cell:1	NK Cell:1117; CD8 Cytotoxic / T Effector Memory:104; Blood Cell:81; Lymphoid Cell:5	not_available:1307	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_01	T_NK_lineage	11	767	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	NKT Cell	source_supported_marker_tiebreak	0.5255867014341591	1.0	0.47441329856584097	0.04152542372881356	0.4328878748370274	3.0664667535853978	2.5408800521512385	CD8 Cytotoxic / T Effector Memory:758; NK Cell:9	CD8 Cytotoxic / T Effector Memory:766; NK Cell:1	not_available:767	screfmapping_missing_for_scope
infection_study_01	T_NK_lineage	13	717	NK Cell	NKT Cell	NKT Cell	raw_marker_winner	0.89139470013947	1.0	0.10860529986052998	0.056722454672245466	0.05188284518828452	3.164039051603905	2.179283124128312	NK Cell:637; CD8 Cytotoxic / T Effector Memory:75; gdT Cell:5	NK Cell:556; CD8 Cytotoxic / T Effector Memory:110; Blood Cell:44; Lymphoid Cell:6; MAIT Cell:1	not_available:717	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_01	T_NK_lineage	14	708	MAIT Cell	NKT Cell	NKT Cell	raw_marker_winner	0.8376271186440678	1.0	0.1623728813559322	0.08398305084745762	0.07838983050847458	2.3312005649717515	0.3830014124293786	CD8 Cytotoxic / T Effector Memory:336; MAIT Cell:192; NK Cell:153; gdT Cell:12; CD4 Naive / T Central Memory:9	CD8 Cytotoxic / T Effector Memory:310; MAIT Cell:205; Blood Cell:94; gdT Cell:91; NK Cell:4	not_available:694; CD4 T Effector Memory:14	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_01	T_NK_lineage	16	616	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	NKT Cell	source_supported_marker_tiebreak	0.5408603896103896	1.0	0.4591396103896104	0.06222402597402597	0.3969155844155844	2.9952840909090916	2.3582711038961044	CD8 Cytotoxic / T Effector Memory:591; NK Cell:15; MAIT Cell:4; gdT Cell:3; CD4 Naive / T Central Memory:1	CD8 Cytotoxic / T Effector Memory:586; Blood Cell:14; MAIT Cell:6; CD8 Naive / T Central Memory:3; gdT Cell:3	not_available:611; CD4 T Effector Memory:4; CD4 Naive / T Central Memory:1	screfmapping_missing_for_scope
infection_study_01	T_NK_lineage	17	610	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	NKT Cell	source_supported_marker_tiebreak	0.525172131147541	1.0	0.47482786885245903	0.04757377049180328	0.42725409836065575	3.037631147540984	2.130909836065574	CD8 Cytotoxic / T Effector Memory:587; NK Cell:17; Treg:4; Classical Monocyte:1; Blood Cell:1	CD8 Cytotoxic / T Effector Memory:564; Blood Cell:30; Lymphoid Cell:10; Treg:4; NK Cell:2	not_available:607; CD4 T Effector Memory:2; CD4 Naive / T Central Memory:1	screfmapping_missing_for_scope
