study	predicted_cell_type	n_cells
infection_study_01	Classical Monocyte	17074
infection_study_01	NK Cell	9393
infection_study_01	CD8 Cytotoxic / T Effector Memory	8723
infection_study_01	CD4 Naive / T Central Memory	4590
infection_study_01	Naive B Cell	4252
infection_study_01	Non-Classical Monocyte	2219
infection_study_01	Memory B Cell	2118
infection_study_01	CD4 T Effector Memory	1628
infection_study_01	Platelet	1343
infection_study_01	Doublet	1278
infection_study_01	MAIT Cell	958
infection_study_01	Conventional DC 2	455
infection_study_01	CD8 Naive / T Central Memory	360
infection_study_01	Blood Cell	197
infection_study_01	Plasma Cell	130
infection_study_01	Plasmacytoid DC	105
infection_study_01	Plasmablast	41
infection_study_01	Conventional DC 1	33
infection_study_01	Neutrophil	14
infection_study_01	HSC	12
infection_study_01	RBC	1
