study	predicted_cell_type	n_cells
infection_study_01	Classical Monocyte	16771
infection_study_01	CD8 Cytotoxic / T Effector Memory	9299
infection_study_01	NK Cell	7851
infection_study_01	Naive B Cell	4157
infection_study_01	T Cell	3672
infection_study_01	CD4 Naive / T Central Memory	2779
infection_study_01	Memory B Cell	2165
infection_study_01	Non-Classical Monocyte	2122
infection_study_01	Platelet	1391
infection_study_01	Doublet	1278
infection_study_01	CD4 T Effector Memory	1159
infection_study_01	Blood Cell	679
infection_study_01	Myeloid Cell	447
infection_study_01	Conventional DC 2	423
infection_study_01	MAIT Cell	253
infection_study_01	RBC	201
infection_study_01	Plasma Cell	127
infection_study_01	Plasmacytoid DC	82
infection_study_01	HSC	36
infection_study_01	B Cell	29
infection_study_01	Plasmablast	2
infection_study_01	Treg	1
