final_broad_lineage	tool	covered_n	exact_final_concordance	broad_final_concordance
B	CellTypist	15543	0.5956379077398186	0.9782538763430483
B	Azimuth PBMC L2	15543	0.6563083059898347	0.8955156662163032
B	Azimuth PBMC L3	15543	0.010229685388921057	0.010229685388921057
B	Pan-human Azimuth fine	15543	0.7062343176992859	0.8388342018915267
B	Pan-human Azimuth medium	15543	0.0	0.831885736344335
B	Cluster consensus	15543	0.9321237856269703	0.9983272212571576
B	Marker score	15543	0.009907997169143666	0.9980055330373802
B	screfmap scoped	14857	0.9077202665410244	0.997442283098876
T/NK	CellTypist	90663	0.7493023614925604	0.985617065396027
T/NK	Azimuth PBMC L2	90663	0.5440256775090169	0.9903488744030089
T/NK	Azimuth PBMC L3	90663	0.1566901602638342	0.4716918698917971
T/NK	Pan-human Azimuth fine	90663	0.7136207714282563	0.9178716786340624
T/NK	Pan-human Azimuth medium	90663	0.0866946825055425	0.9276772222406053
T/NK	Cluster consensus	90663	0.7402468482181265	0.9980146255914761
T/NK	Marker score	90663	0.10315123038064039	0.9815249881429028
T/NK	screfmap scoped	40619	0.8627735788670327	1.0
Myeloid/DC	CellTypist	32336	0.8786801088570014	0.9400358733300347
Myeloid/DC	Azimuth PBMC L2	32336	0.23234166254329539	0.2572365165759525
Myeloid/DC	Azimuth PBMC L3	32336	0.19139658584858982	0.21137431964374073
Myeloid/DC	Pan-human Azimuth fine	32336	0.7971610588817417	0.8287976249381495
Myeloid/DC	Pan-human Azimuth medium	32336	0.0	0.8294470559129143
Myeloid/DC	Cluster consensus	32336	0.6669346857991093	0.6995299356754082
Myeloid/DC	Marker score	32336	0.07904502721425037	0.998793913904008
Myeloid/DC	screfmap scoped	200	0.0	0.0
Artifact/Other	CellTypist	1418	0.4033850493653032	0.4315937940761636
Artifact/Other	Azimuth PBMC L2	1418	0.1001410437235543	0.7834978843441467
Artifact/Other	Azimuth PBMC L3	1418	0.114950634696756	0.8935119887165022
Artifact/Other	Pan-human Azimuth fine	1418	0.5578279266572638	0.7059238363892807
Artifact/Other	Pan-human Azimuth medium	1418	0.5289139633286318	0.7052186177715092
Artifact/Other	Cluster consensus	1418	0.5021156558533145	0.6713681241184767
Artifact/Other	Marker score	1418	0.06276445698166432	0.09873060648801128
Artifact/Other	screfmap scoped	352	0.0	0.0
