final_broad_lineage	tool	covered_n	exact_final_concordance	broad_final_concordance
B	CellTypist	6322	0.47121164188547926	0.7540335336918697
B	Azimuth PBMC L2	6322	0.20642201834862386	0.9400506168933882
B	Azimuth PBMC L3	6322	0.29911420436570707	0.4171148370768744
B	Pan-human Azimuth fine	6322	0.8252135400189813	0.9438468838975008
B	Pan-human Azimuth medium	6322	0.002530844669408415	0.9421069281872825
B	Cluster consensus	6322	0.47152799746915536	0.9911420436570706
B	Marker score	6322	0.36539069914583994	0.8935463460930085
B	screfmap scoped	6249	0.7247559609537526	0.9932789246279404
T/NK	CellTypist	23292	0.6980078997080542	0.9833419199725227
T/NK	Azimuth PBMC L2	23292	0.7369483084320797	0.9906405632835308
T/NK	Azimuth PBMC L3	23292	0.1111111111111111	0.18023355658595225
T/NK	Pan-human Azimuth fine	23292	0.5692512450626824	0.796840116778293
T/NK	Pan-human Azimuth medium	23292	0.23179632491842692	0.8085179460759059
T/NK	Cluster consensus	23292	0.7896273398591791	0.9553924094109566
T/NK	Marker score	23292	0.2960673192512451	0.9449167095998626
T/NK	screfmap scoped	7979	0.7975936834189749	0.9953628274219827
Myeloid/DC	CellTypist	12991	0.774459241013009	0.8703717958586714
Myeloid/DC	Azimuth PBMC L2	12991	0.8423523978138712	0.9496574551612655
Myeloid/DC	Azimuth PBMC L3	12991	0.8253406204295282	0.9302594103610191
Myeloid/DC	Pan-human Azimuth fine	12991	0.7030251712724194	0.8794550073127549
Myeloid/DC	Pan-human Azimuth medium	12991	0.0	0.8880763605573089
Myeloid/DC	Cluster consensus	12991	0.8050188592102224	0.9014702486336694
Myeloid/DC	Marker score	12991	0.10322530982988222	0.9915325994919559
Myeloid/DC	screfmap scoped	75	0.0	0.0
Artifact/Other	CellTypist	967	0.2730093071354705	0.31437435367114785
Artifact/Other	Azimuth PBMC L2	967	0.358841778697001	0.6918304033092038
Artifact/Other	Azimuth PBMC L3	967	0.43743536711478803	0.8076525336091003
Artifact/Other	Pan-human Azimuth fine	967	0.734229576008273	0.8831437435367114
Artifact/Other	Pan-human Azimuth medium	967	0.5149948293691831	0.8738366080661841
Artifact/Other	Cluster consensus	967	0.4467425025853154	0.8262668045501551
Artifact/Other	Marker score	967	0.21199586349534644	0.4550155118924509
Artifact/Other	screfmap scoped	363	0.0	0.0
