final_broad_lineage	tool	covered_n	exact_final_concordance	broad_final_concordance
B	CellTypist	119	0.2605042016806723	0.8739495798319328
B	Azimuth PBMC L2	119	0.5126050420168067	0.8487394957983193
B	Azimuth PBMC L3	119	0.23529411764705882	0.8151260504201681
B	Pan-human Azimuth fine	119	0.31932773109243695	0.8907563025210085
B	Pan-human Azimuth medium	119	0.0	0.865546218487395
B	Cluster consensus	119	0.3025210084033613	0.8151260504201681
B	Marker score	119	0.31932773109243695	0.9831932773109243
B	screfmap scoped	108	0.1574074074074074	1.0
T/NK	CellTypist	281	0.5871886120996441	0.9039145907473309
T/NK	Azimuth PBMC L2	281	0.697508896797153	0.8861209964412812
T/NK	Azimuth PBMC L3	281	0.0711743772241993	0.12099644128113879
T/NK	Pan-human Azimuth fine	281	0.49466192170818507	0.6868327402135231
T/NK	Pan-human Azimuth medium	281	0.45195729537366547	0.7046263345195729
T/NK	Cluster consensus	281	0.7259786476868327	0.9644128113879004
T/NK	Marker score	281	0.4306049822064057	0.9466192170818505
T/NK	screfmap scoped	45	0.5555555555555556	1.0
Myeloid/DC	CellTypist	64016	0.9322044488877781	0.9981567108222944
Myeloid/DC	Azimuth PBMC L2	64016	0.9340789802549363	0.9866908272931767
Myeloid/DC	Azimuth PBMC L3	64016	0.8417739315171208	0.891433391652087
Myeloid/DC	Pan-human Azimuth fine	64016	0.9173800299925019	0.9615564858785304
Myeloid/DC	Pan-human Azimuth medium	64016	0.0	0.961931392151962
Myeloid/DC	Cluster consensus	64016	0.9810984753811547	0.9987346913271682
Myeloid/DC	Marker score	64016	0.23072356910772307	0.982145088727818
Myeloid/DC	screfmap scoped	3	0.0	0.0
Artifact/Other	CellTypist	1498	0.4499332443257677	0.5600801068090788
Artifact/Other	Azimuth PBMC L2	1498	0.27303070761014686	0.5874499332443258
Artifact/Other	Azimuth PBMC L3	1498	0.27303070761014686	0.6188251001335113
Artifact/Other	Pan-human Azimuth fine	1498	0.4606141522029373	0.6181575433911882
Artifact/Other	Pan-human Azimuth medium	1498	0.42923898531375165	0.6181575433911882
Artifact/Other	Cluster consensus	1498	0.38317757009345793	0.5647530040053405
Artifact/Other	Marker score	1498	0.004005340453938585	0.004005340453938585
Artifact/Other	screfmap scoped	14	0.0	0.0
