final_broad_lineage	tool	covered_n	exact_final_concordance	broad_final_concordance
B	CellTypist	6509	0.8571209095099094	0.987555692118605
B	Azimuth PBMC L2	6509	0.7422031033952988	0.9910892610231986
B	Azimuth PBMC L3	6509	0.012751574742664003	0.01997234598248579
B	Pan-human Azimuth fine	6509	0.8958365340298049	0.9840221232140114
B	Pan-human Azimuth medium	6509	0.00015363343063450608	0.9843293900752804
B	Cluster consensus	6509	0.620218159471501	0.9843293900752804
B	Marker score	6509	0.024888615762789983	0.988477492702412
B	screfmap scoped	6502	0.9401722546908643	0.9980006151953246
T/NK	CellTypist	25685	0.6978781389916293	0.9922522873272338
T/NK	Azimuth PBMC L2	25685	0.6744014015962624	0.9929141522289274
T/NK	Azimuth PBMC L3	25685	0.05158652910258906	0.12832392446953475
T/NK	Pan-human Azimuth fine	25685	0.6714035429238855	0.9216663422230874
T/NK	Pan-human Azimuth medium	25685	0.23628576990461359	0.926338329764454
T/NK	Cluster consensus	25685	0.7711115437025501	0.9899941600155733
T/NK	Marker score	25685	0.28911816235156707	0.9830640451625462
T/NK	screfmap scoped	5750	0.6419130434782608	0.9994782608695653
Myeloid/DC	CellTypist	19897	0.9455194250389506	0.9957279991958586
Myeloid/DC	Azimuth PBMC L2	19897	0.9634618284163442	0.9968839523546263
Myeloid/DC	Azimuth PBMC L3	19897	0.9441121777152335	0.9741669598431925
Myeloid/DC	Pan-human Azimuth fine	19897	0.7633814142835603	0.8977232748655576
Myeloid/DC	Pan-human Azimuth medium	19897	0.0	0.9001859576820627
Myeloid/DC	Cluster consensus	19897	0.965019852239031	0.9992963763381414
Myeloid/DC	Marker score	19897	0.0421671608785244	0.9947228225360607
Myeloid/DC	screfmap scoped	4	0.0	0.0
Artifact/Other	CellTypist	2833	0.49982350864807623	0.5174726438404518
Artifact/Other	Azimuth PBMC L2	2833	0.4871161313095658	0.5598305683021532
Artifact/Other	Azimuth PBMC L3	2833	0.49135192375573594	0.6773738086833745
Artifact/Other	Pan-human Azimuth fine	2833	0.54041651959054	0.6699611719025768
Artifact/Other	Pan-human Azimuth medium	2833	0.49876456053653373	0.6671373102717967
Artifact/Other	Cluster consensus	2833	0.5171196611366043	0.522414401694317
Artifact/Other	Marker score	2833	0.47511471937875044	0.5481821390751853
Artifact/Other	screfmap scoped	269	0.0	0.0
