study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	cluster_marker_raw_winner	cluster_marker_assignment_reason	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
infection_study_06	B_lineage	0	10143	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6915892733905156	1.0	0.3084107266094844	0.2300759144237405	0.07833481218574387	2.589213250517598	1.6224381346741594	Naive B Cell:7084; Memory B Cell:2479; B Cell:549; Plasma Cell:14; Plasmablast:8	Naive B Cell:6454; Memory B Cell:3544; not_available:122; Plasma Cell:19; Blood Cell:3	not_available:10143	screfmapping_missing_for_scope
infection_study_06	B_lineage	1	10113	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6878641352714328	1.0	0.3121358647285672	0.2540670424206467	0.058068822307920494	2.8971195490952235	2.292056758627509	Naive B Cell:8328; Memory B Cell:1537; B Cell:226; CD4 Naive / T Central Memory:4; Classical Monocyte:4	Naive B Cell:7815; Memory B Cell:2126; not_available:156; Blood Cell:10; Plasma Cell:4	not_available:10113	screfmapping_missing_for_scope
infection_study_06	B_lineage	2	1842	Plasma Cell	Plasma Cell	Memory B Cell	source_supported_marker_tiebreak	0.5222519001085777	1.0	0.47774809989142236	0.47774809989142236	0.0	2.1530944625407167	0.7363735070575461	Plasma Cell:910; Classical Monocyte:265; Plasmablast:244; Memory B Cell:210; Naive B Cell:125	Plasma Cell:1211; not_available:292; Memory B Cell:251; HSC:36; Naive B Cell:16	not_available:1842	screfmapping_missing_for_scope
infection_study_06	B_lineage	3	4484	Plasma Cell	Plasma Cell	Plasmablast	source_supported_marker_tiebreak	0.6199390425215582	1.0	0.3800609574784418	0.12622509663990483	0.253835860838537	2.9889830508474575	0.6178397264347306	Plasma Cell:3709; Plasmablast:734; Memory B Cell:16; Classical Monocyte:6; Naive B Cell:6	Plasma Cell:4458; Memory B Cell:12; not_available:5; Naive B Cell:3; CD4 T Effector Memory:2	not_available:4484	screfmapping_missing_for_scope
infection_study_06	B_lineage	4	5689	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6276129372473194	1.0	0.37238706275268063	0.2920653893478643	0.08032167340481632	2.337157672701705	1.1007013534891894	Naive B Cell:3528; Memory B Cell:1765; B Cell:178; Classical Monocyte:53; CD4 Naive / T Central Memory:47	Naive B Cell:2541; Memory B Cell:2393; not_available:483; Treg:66; CD8 Cytotoxic / T Effector Memory:42	not_available:5689	screfmapping_missing_for_scope
infection_study_06	B_lineage	5	12024	Memory B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.2967356532827454	0.6522240099028386	0.35548835662009315	0.35548835662009315	0.0	2.48429387018228	1.8629033179534045	Memory B Cell:8557; Naive B Cell:2665; B Cell:743; Plasma Cell:24; Plasmablast:8	Memory B Cell:9947; Naive B Cell:1910; not_available:117; Plasma Cell:33; Blood Cell:12	not_available:12024	weak_marker_specificity;screfmapping_missing_for_scope
infection_study_06	B_lineage	6	3627	Plasma Cell	Plasma Cell	Plasmablast	source_supported_marker_tiebreak	0.6233002481389578	1.0	0.37669975186104215	0.14646815550041356	0.2302315963606286	2.978494623655914	0.5602674386545354	Plasma Cell:2642; Plasmablast:947; Naive B Cell:8; CD4 Naive / T Central Memory:7; Memory B Cell:5	Plasma Cell:3591; not_available:16; Memory B Cell:6; Blood Cell:5; Naive B Cell:4	not_available:3627	screfmapping_missing_for_scope
infection_study_06	B_lineage	7	4297	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6130986734931347	1.0	0.38690132650686526	0.30968466371887365	0.07721666278799161	2.6149604375145454	1.6273411682569239	Naive B Cell:3214; Memory B Cell:959; B Cell:101; Plasma Cell:6; CD4 Naive / T Central Memory:3	Naive B Cell:2530; Memory B Cell:1567; not_available:178; Plasma Cell:7; Treg:5	not_available:4297	screfmapping_missing_for_scope
infection_study_06	B_lineage	8	8097	Naive B Cell	Naive B Cell	Plasmablast	source_supported_marker_tiebreak	0.4985171462681651	1.0	0.5014828537318349	0.4441159277098514	0.057366926021983455	2.42488143756947	1.5073564283067802	Naive B Cell:5870; Memory B Cell:2120; B Cell:55; Plasma Cell:11; Plasmablast:9	Naive B Cell:5217; Memory B Cell:2703; not_available:128; Plasma Cell:25; HSC:19	not_available:8097	screfmapping_missing_for_scope
infection_study_06	B_lineage	9	3287	Plasma Cell	Plasma Cell	Plasmablast	source_supported_marker_tiebreak	0.6444843322178279	1.0	0.35551566778217214	0.1179129905689078	0.23760267721326433	2.9984180103437783	0.42110739275935494	Plasma Cell:2159; Plasmablast:1118; CD8 Cytotoxic / T Effector Memory:3; Treg:3; Classical Monocyte:2	Plasma Cell:3285; not_available:1; Memory B Cell:1	not_available:3287	screfmapping_missing_for_scope
