study	lineage	cluster	n_cells	review_priority	priority_score	review_reasons	suggested_action	final_label	marker_assignment	raw_marker_winner	assignment_reason	marker_score	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	llm_review_packet
infection_study_06	B_lineage	0	10143	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6915892733905156	2.589213250517598	1.6224381346741594	Naive B Cell:7084; Memory B Cell:2479; B Cell:549; Plasma Cell:14; Plasmablast:8	Naive B Cell:6454; Memory B Cell:3544; not_available:122; Plasma Cell:19; Blood Cell:3	not_available:10143	Study=infection_study_06; lineage=B_lineage; cluster=0; cells=10143; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.692; best_total_score=2.589; score_margin=1.622; CellTypist=Naive B Cell:7084; Memory B Cell:2479; B Cell:549; Plasma Cell:14; Plasmablast:8; PanHuman=Naive B Cell:6454; Memory B Cell:3544; not_available:122; Plasma Cell:19; Blood Cell:3; scRefMap=not_available:10143; review_reasons=screfmapping_not_available.
infection_study_06	B_lineage	1	10113	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6878641352714328	2.8971195490952235	2.292056758627509	Naive B Cell:8328; Memory B Cell:1537; B Cell:226; CD4 Naive / T Central Memory:4; Classical Monocyte:4	Naive B Cell:7815; Memory B Cell:2126; not_available:156; Blood Cell:10; Plasma Cell:4	not_available:10113	Study=infection_study_06; lineage=B_lineage; cluster=1; cells=10113; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.688; best_total_score=2.897; score_margin=2.292; CellTypist=Naive B Cell:8328; Memory B Cell:1537; B Cell:226; CD4 Naive / T Central Memory:4; Classical Monocyte:4; PanHuman=Naive B Cell:7815; Memory B Cell:2126; not_available:156; Blood Cell:10; Plasma Cell:4; scRefMap=not_available:10113; review_reasons=screfmapping_not_available.
infection_study_06	B_lineage	2	1842	medium	4	raw_marker_winner_changed_by_policy;screfmapping_not_available	accept	Plasma Cell	Plasma Cell	Memory B Cell	source_supported_marker_tiebreak	0.5222519001085777	2.1530944625407167	0.7363735070575461	Plasma Cell:910; Classical Monocyte:265; Plasmablast:244; Memory B Cell:210; Naive B Cell:125	Plasma Cell:1211; not_available:292; Memory B Cell:251; HSC:36; Naive B Cell:16	not_available:1842	Study=infection_study_06; lineage=B_lineage; cluster=2; cells=1842; final=Plasma Cell; marker_assignment=Plasma Cell; raw_marker_winner=Memory B Cell; assignment_reason=source_supported_marker_tiebreak; marker_score=0.522; best_total_score=2.153; score_margin=0.736; CellTypist=Plasma Cell:910; Classical Monocyte:265; Plasmablast:244; Memory B Cell:210; Naive B Cell:125; PanHuman=Plasma Cell:1211; not_available:292; Memory B Cell:251; HSC:36; Naive B Cell:16; scRefMap=not_available:1842; review_reasons=raw_marker_winner_changed_by_policy,screfmapping_not_available.
infection_study_06	B_lineage	3	4484	medium	6	raw_marker_winner_changed_by_policy;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	Plasma Cell	Plasma Cell	Plasmablast	source_supported_marker_tiebreak	0.6199390425215582	2.9889830508474575	0.6178397264347306	Plasma Cell:3709; Plasmablast:734; Memory B Cell:16; Classical Monocyte:6; Naive B Cell:6	Plasma Cell:4458; Memory B Cell:12; not_available:5; Naive B Cell:3; CD4 T Effector Memory:2	not_available:4484	Study=infection_study_06; lineage=B_lineage; cluster=3; cells=4484; final=Plasma Cell; marker_assignment=Plasma Cell; raw_marker_winner=Plasmablast; assignment_reason=source_supported_marker_tiebreak; marker_score=0.620; best_total_score=2.989; score_margin=0.618; CellTypist=Plasma Cell:3709; Plasmablast:734; Memory B Cell:16; Classical Monocyte:6; Naive B Cell:6; PanHuman=Plasma Cell:4458; Memory B Cell:12; not_available:5; Naive B Cell:3; CD4 T Effector Memory:2; scRefMap=not_available:4484; review_reasons=raw_marker_winner_changed_by_policy,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_06	B_lineage	4	5689	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6276129372473194	2.337157672701705	1.1007013534891894	Naive B Cell:3528; Memory B Cell:1765; B Cell:178; Classical Monocyte:53; CD4 Naive / T Central Memory:47	Naive B Cell:2541; Memory B Cell:2393; not_available:483; Treg:66; CD8 Cytotoxic / T Effector Memory:42	not_available:5689	Study=infection_study_06; lineage=B_lineage; cluster=4; cells=5689; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.628; best_total_score=2.337; score_margin=1.101; CellTypist=Naive B Cell:3528; Memory B Cell:1765; B Cell:178; Classical Monocyte:53; CD4 Naive / T Central Memory:47; PanHuman=Naive B Cell:2541; Memory B Cell:2393; not_available:483; Treg:66; CD8 Cytotoxic / T Effector Memory:42; scRefMap=not_available:5689; review_reasons=screfmapping_not_available.
infection_study_06	B_lineage	5	12024	low	3	screfmapping_not_available	accept	Memory B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.2967356532827454	2.48429387018228	1.8629033179534045	Memory B Cell:8557; Naive B Cell:2665; B Cell:743; Plasma Cell:24; Plasmablast:8	Memory B Cell:9947; Naive B Cell:1910; not_available:117; Plasma Cell:33; Blood Cell:12	not_available:12024	Study=infection_study_06; lineage=B_lineage; cluster=5; cells=12024; final=Memory B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.297; best_total_score=2.484; score_margin=1.863; CellTypist=Memory B Cell:8557; Naive B Cell:2665; B Cell:743; Plasma Cell:24; Plasmablast:8; PanHuman=Memory B Cell:9947; Naive B Cell:1910; not_available:117; Plasma Cell:33; Blood Cell:12; scRefMap=not_available:12024; review_reasons=screfmapping_not_available.
infection_study_06	B_lineage	6	3627	medium	6	raw_marker_winner_changed_by_policy;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	Plasma Cell	Plasma Cell	Plasmablast	source_supported_marker_tiebreak	0.6233002481389578	2.978494623655914	0.5602674386545354	Plasma Cell:2642; Plasmablast:947; Naive B Cell:8; CD4 Naive / T Central Memory:7; Memory B Cell:5	Plasma Cell:3591; not_available:16; Memory B Cell:6; Blood Cell:5; Naive B Cell:4	not_available:3627	Study=infection_study_06; lineage=B_lineage; cluster=6; cells=3627; final=Plasma Cell; marker_assignment=Plasma Cell; raw_marker_winner=Plasmablast; assignment_reason=source_supported_marker_tiebreak; marker_score=0.623; best_total_score=2.978; score_margin=0.560; CellTypist=Plasma Cell:2642; Plasmablast:947; Naive B Cell:8; CD4 Naive / T Central Memory:7; Memory B Cell:5; PanHuman=Plasma Cell:3591; not_available:16; Memory B Cell:6; Blood Cell:5; Naive B Cell:4; scRefMap=not_available:3627; review_reasons=raw_marker_winner_changed_by_policy,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_06	B_lineage	7	4297	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6130986734931347	2.6149604375145454	1.6273411682569239	Naive B Cell:3214; Memory B Cell:959; B Cell:101; Plasma Cell:6; CD4 Naive / T Central Memory:3	Naive B Cell:2530; Memory B Cell:1567; not_available:178; Plasma Cell:7; Treg:5	not_available:4297	Study=infection_study_06; lineage=B_lineage; cluster=7; cells=4297; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.613; best_total_score=2.615; score_margin=1.627; CellTypist=Naive B Cell:3214; Memory B Cell:959; B Cell:101; Plasma Cell:6; CD4 Naive / T Central Memory:3; PanHuman=Naive B Cell:2530; Memory B Cell:1567; not_available:178; Plasma Cell:7; Treg:5; scRefMap=not_available:4297; review_reasons=screfmapping_not_available.
infection_study_06	B_lineage	8	8097	medium	6	raw_marker_winner_changed_by_policy;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	Naive B Cell	Naive B Cell	Plasmablast	source_supported_marker_tiebreak	0.4985171462681651	2.42488143756947	1.5073564283067802	Naive B Cell:5870; Memory B Cell:2120; B Cell:55; Plasma Cell:11; Plasmablast:9	Naive B Cell:5217; Memory B Cell:2703; not_available:128; Plasma Cell:25; HSC:19	not_available:8097	Study=infection_study_06; lineage=B_lineage; cluster=8; cells=8097; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Plasmablast; assignment_reason=source_supported_marker_tiebreak; marker_score=0.499; best_total_score=2.425; score_margin=1.507; CellTypist=Naive B Cell:5870; Memory B Cell:2120; B Cell:55; Plasma Cell:11; Plasmablast:9; PanHuman=Naive B Cell:5217; Memory B Cell:2703; not_available:128; Plasma Cell:25; HSC:19; scRefMap=not_available:8097; review_reasons=raw_marker_winner_changed_by_policy,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_06	B_lineage	9	3287	medium	6	raw_marker_winner_changed_by_policy;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	Plasma Cell	Plasma Cell	Plasmablast	source_supported_marker_tiebreak	0.6444843322178279	2.9984180103437783	0.42110739275935494	Plasma Cell:2159; Plasmablast:1118; CD8 Cytotoxic / T Effector Memory:3; Treg:3; Classical Monocyte:2	Plasma Cell:3285; not_available:1; Memory B Cell:1	not_available:3287	Study=infection_study_06; lineage=B_lineage; cluster=9; cells=3287; final=Plasma Cell; marker_assignment=Plasma Cell; raw_marker_winner=Plasmablast; assignment_reason=source_supported_marker_tiebreak; marker_score=0.644; best_total_score=2.998; score_margin=0.421; CellTypist=Plasma Cell:2159; Plasmablast:1118; CD8 Cytotoxic / T Effector Memory:3; Treg:3; Classical Monocyte:2; PanHuman=Plasma Cell:3285; not_available:1; Memory B Cell:1; scRefMap=not_available:3287; review_reasons=raw_marker_winner_changed_by_policy,ambiguous_or_missing_label_candidate,screfmapping_not_available.
