study	annotation_reason	n_cells
infection_study_06	independent_Myeloid_lineage_subcluster_to_Classical_Monocyte	243871
infection_study_06	independent_T_NK_lineage_subcluster_to_CD4_Naive_/_T_Central_Memory	226586
infection_study_06	independent_T_NK_lineage_subcluster_to_CD8_Cytotoxic_/_T_Effector_Memory	102948
infection_study_06	independent_T_NK_lineage_subcluster_to_NK_Cell	75884
infection_study_06	independent_B_lineage_subcluster_to_Naive_B_Cell	38339
infection_study_06	independent_T_NK_lineage_subcluster_to_CD4_T_Effector_Memory	34304
infection_study_06	independent_T_NK_lineage_subcluster_to_CD8_Naive_/_T_Central_Memory	24369
infection_study_06	independent_Myeloid_lineage_subcluster_to_Non-Classical_Monocyte	23278
infection_study_06	independent_T_NK_lineage_subcluster_to_Treg	18780
infection_study_06	independent_B_lineage_subcluster_to_Plasma_Cell	13240
infection_study_06	independent_B_lineage_subcluster_to_Memory_B_Cell	12024
infection_study_06	independent_Myeloid_lineage_subcluster_to_Conventional_DC_2	5848
infection_study_06	independent_Myeloid_lineage_subcluster_to_Plasmacytoid_DC	2665
infection_study_06	independent_other_direct_HSC	2052
infection_study_06	ambiguous_default_blood_cell	1794
infection_study_06	independent_other_direct_Platelet	1309
infection_study_06	independent_ambiguous_exact_source_votes_HSC	38
infection_study_06	independent_ambiguous_exact_source_votes_CD4 Naive / T Central Memory	34
infection_study_06	independent_ambiguous_exact_source_votes_Classical Monocyte	13
infection_study_06	independent_ambiguous_exact_source_votes_CD8 Cytotoxic / T Effector Memory	7
infection_study_06	independent_ambiguous_exact_source_votes_NK Cell	4
infection_study_06	independent_ambiguous_exact_source_votes_Treg	1
infection_study_06	independent_ambiguous_exact_source_votes_Platelet	1
