study	lineage	cluster	n_cells	review_priority	priority_score	review_reasons	suggested_action	final_label	marker_assignment	raw_marker_winner	assignment_reason	marker_score	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	llm_review_packet
infection_study_07	B_lineage	0	86	high	8	parent_or_broad_final_label;marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available	check_if_finer_official_label_is_supported	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.8844961240310077	0.8844961240310077	0.10274830994373985	not_available:86	not_available:86	not_available:86	Study=infection_study_07; lineage=B_lineage; cluster=0; cells=86; final=B Cell; marker_assignment=Plasma Cell; raw_marker_winner=Plasma Cell; assignment_reason=raw_marker_winner; marker_score=0.884; best_total_score=0.884; score_margin=0.103; CellTypist=not_available:86; PanHuman=not_available:86; scRefMap=not_available:86; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_07	B_lineage	1	80	medium	6	parent_or_broad_final_label;marker_assignment_disagrees_with_final;screfmapping_not_available	check_if_finer_official_label_is_supported	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.8991980178588951	0.8991980178588951	0.559323017858895	not_available:80	not_available:80	not_available:80	Study=infection_study_07; lineage=B_lineage; cluster=1; cells=80; final=B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.899; best_total_score=0.899; score_margin=0.559; CellTypist=not_available:80; PanHuman=not_available:80; scRefMap=not_available:80; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,screfmapping_not_available.
infection_study_07	B_lineage	10	31	high	8	parent_or_broad_final_label;marker_assignment_disagrees_with_final;screfmapping_not_available;low_total_score_or_margin	check_if_finer_official_label_is_supported	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.6517702843432378	0.6517702843432378	0.1767165209023776	not_available:31	not_available:31	not_available:31	Study=infection_study_07; lineage=B_lineage; cluster=10; cells=31; final=B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.652; best_total_score=0.652; score_margin=0.177; CellTypist=not_available:31; PanHuman=not_available:31; scRefMap=not_available:31; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,screfmapping_not_available,low_total_score_or_margin.
infection_study_07	B_lineage	11	31	high	10	parent_or_broad_final_label;marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available;low_total_score_or_margin	check_if_finer_official_label_is_supported	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.5551612903225807	0.5551612903225807	0.17952600902679872	not_available:31	not_available:31	not_available:31	Study=infection_study_07; lineage=B_lineage; cluster=11; cells=31; final=B Cell; marker_assignment=Plasma Cell; raw_marker_winner=Plasma Cell; assignment_reason=raw_marker_winner; marker_score=0.555; best_total_score=0.555; score_margin=0.180; CellTypist=not_available:31; PanHuman=not_available:31; scRefMap=not_available:31; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available,low_total_score_or_margin.
infection_study_07	B_lineage	12	30	high	10	parent_or_broad_final_label;marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available;low_total_score_or_margin	check_if_finer_official_label_is_supported	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.5850494188690227	0.5850494188690227	0.23904941886902276	not_available:30	not_available:30	not_available:30	Study=infection_study_07; lineage=B_lineage; cluster=12; cells=30; final=B Cell; marker_assignment=Plasma Cell; raw_marker_winner=Plasma Cell; assignment_reason=raw_marker_winner; marker_score=0.585; best_total_score=0.585; score_margin=0.239; CellTypist=not_available:30; PanHuman=not_available:30; scRefMap=not_available:30; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available,low_total_score_or_margin.
infection_study_07	B_lineage	13	25	high	10	parent_or_broad_final_label;marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available;low_total_score_or_margin	check_if_finer_official_label_is_supported	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.6144000000000001	0.6144000000000001	0.05900000000000005	not_available:25	not_available:25	not_available:25	Study=infection_study_07; lineage=B_lineage; cluster=13; cells=25; final=B Cell; marker_assignment=Plasma Cell; raw_marker_winner=Plasma Cell; assignment_reason=raw_marker_winner; marker_score=0.614; best_total_score=0.614; score_margin=0.059; CellTypist=not_available:25; PanHuman=not_available:25; scRefMap=not_available:25; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available,low_total_score_or_margin.
infection_study_07	B_lineage	14	24	high	8	parent_or_broad_final_label;marker_assignment_disagrees_with_final;screfmapping_not_available;low_total_score_or_margin	check_if_finer_official_label_is_supported	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.677338092434501	0.677338092434501	0.11764978467658949	not_available:24	not_available:24	not_available:24	Study=infection_study_07; lineage=B_lineage; cluster=14; cells=24; final=B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.677; best_total_score=0.677; score_margin=0.118; CellTypist=not_available:24; PanHuman=not_available:24; scRefMap=not_available:24; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,screfmapping_not_available,low_total_score_or_margin.
infection_study_07	B_lineage	15	11	medium	6	parent_or_broad_final_label;marker_assignment_disagrees_with_final;screfmapping_not_available	check_if_finer_official_label_is_supported	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.793939393939394	0.793939393939394	0.5339393939393939	not_available:11	not_available:11	not_available:11	Study=infection_study_07; lineage=B_lineage; cluster=15; cells=11; final=B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.794; best_total_score=0.794; score_margin=0.534; CellTypist=not_available:11; PanHuman=not_available:11; scRefMap=not_available:11; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,screfmapping_not_available.
infection_study_07	B_lineage	16	11	high	8	parent_or_broad_final_label;marker_assignment_disagrees_with_final;screfmapping_not_available;low_total_score_or_margin	check_if_finer_official_label_is_supported	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.5042424242424242	0.5042424242424242	0.00853776676163387	not_available:11	not_available:11	not_available:11	Study=infection_study_07; lineage=B_lineage; cluster=16; cells=11; final=B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.504; best_total_score=0.504; score_margin=0.009; CellTypist=not_available:11; PanHuman=not_available:11; scRefMap=not_available:11; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,screfmapping_not_available,low_total_score_or_margin.
infection_study_07	B_lineage	2	74	medium	6	parent_or_broad_final_label;marker_assignment_disagrees_with_final;screfmapping_not_available	check_if_finer_official_label_is_supported	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.8796396396396396	0.8796396396396396	0.6426126126126126	not_available:74	not_available:74	not_available:74	Study=infection_study_07; lineage=B_lineage; cluster=2; cells=74; final=B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.880; best_total_score=0.880; score_margin=0.643; CellTypist=not_available:74; PanHuman=not_available:74; scRefMap=not_available:74; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,screfmapping_not_available.
infection_study_07	B_lineage	3	48	medium	6	parent_or_broad_final_label;marker_assignment_disagrees_with_final;screfmapping_not_available	check_if_finer_official_label_is_supported	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.915	0.915	0.3811111111111112	not_available:48	not_available:48	not_available:48	Study=infection_study_07; lineage=B_lineage; cluster=3; cells=48; final=B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.915; best_total_score=0.915; score_margin=0.381; CellTypist=not_available:48; PanHuman=not_available:48; scRefMap=not_available:48; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,screfmapping_not_available.
infection_study_07	B_lineage	4	47	high	10	parent_or_broad_final_label;marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available;low_total_score_or_margin	check_if_finer_official_label_is_supported	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.7403546099290781	0.7403546099290781	0.26342892036542587	not_available:47	not_available:47	not_available:47	Study=infection_study_07; lineage=B_lineage; cluster=4; cells=47; final=B Cell; marker_assignment=Plasma Cell; raw_marker_winner=Plasma Cell; assignment_reason=raw_marker_winner; marker_score=0.740; best_total_score=0.740; score_margin=0.263; CellTypist=not_available:47; PanHuman=not_available:47; scRefMap=not_available:47; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available,low_total_score_or_margin.
infection_study_07	B_lineage	5	40	high	10	parent_or_broad_final_label;marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available;low_total_score_or_margin	check_if_finer_official_label_is_supported	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.7142499999999999	0.7142499999999999	0.17826651243252256	not_available:40	not_available:40	not_available:40	Study=infection_study_07; lineage=B_lineage; cluster=5; cells=40; final=B Cell; marker_assignment=Plasma Cell; raw_marker_winner=Plasma Cell; assignment_reason=raw_marker_winner; marker_score=0.714; best_total_score=0.714; score_margin=0.178; CellTypist=not_available:40; PanHuman=not_available:40; scRefMap=not_available:40; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available,low_total_score_or_margin.
infection_study_07	B_lineage	6	39	high	10	parent_or_broad_final_label;marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available;low_total_score_or_margin	check_if_finer_official_label_is_supported	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.6004273504273504	0.6004273504273504	0.163099106927657	not_available:39	not_available:39	not_available:39	Study=infection_study_07; lineage=B_lineage; cluster=6; cells=39; final=B Cell; marker_assignment=Plasma Cell; raw_marker_winner=Plasma Cell; assignment_reason=raw_marker_winner; marker_score=0.600; best_total_score=0.600; score_margin=0.163; CellTypist=not_available:39; PanHuman=not_available:39; scRefMap=not_available:39; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available,low_total_score_or_margin.
