study	annotation_reason	n_cells
infection_study_04	independent_Myeloid_lineage_subcluster_to_Classical_Monocyte	10596
infection_study_04	independent_T_NK_lineage_subcluster_to_CD4_Naive_/_T_Central_Memory	8275
infection_study_04	independent_T_NK_lineage_subcluster_to_CD8_Cytotoxic_/_T_Effector_Memory	6978
infection_study_04	independent_T_NK_lineage_subcluster_to_NK_Cell	6811
infection_study_04	independent_B_lineage_subcluster_to_Plasma_Cell_marker_warning	3272
infection_study_04	independent_B_lineage_subcluster_to_Naive_B_Cell	1790
infection_study_04	independent_B_lineage_subcluster_to_Memory_B_Cell	1674
infection_study_04	independent_Myeloid_lineage_subcluster_to_Non-Classical_Monocyte	1502
infection_study_04	ambiguous_default_blood_cell	746
infection_study_04	independent_T_NK_lineage_subcluster_to_Treg	484
infection_study_04	independent_Myeloid_lineage_subcluster_to_Conventional_DC_2	420
infection_study_04	independent_T_NK_lineage_subcluster_to_MAIT_Cell	392
infection_study_04	independent_Myeloid_lineage_subcluster_to_Plasmacytoid_DC	229
infection_study_04	independent_other_direct_Platelet	163
infection_study_04	doublet_override	132
infection_study_04	independent_Myeloid_lineage_subcluster_to_Neutrophil	132
infection_study_04	independent_other_direct_HSC	120
infection_study_04	independent_Myeloid_lineage_subcluster_to_Conventional_DC_1	23
infection_study_04	independent_ambiguous_exact_source_votes_Platelet	9
infection_study_04	independent_ambiguous_exact_source_votes_Classical Monocyte	7
infection_study_04	independent_ambiguous_exact_source_votes_CD4 Naive / T Central Memory	7
infection_study_04	independent_ambiguous_exact_source_votes_HSC	2
infection_study_04	independent_ambiguous_exact_source_votes_CD8 Cytotoxic / T Effector Memory	2
infection_study_04	independent_ambiguous_exact_source_votes_NK Cell	1
