study	broad_lineage	cluster	n_cells	chosen_label	accepted	best_candidate_before_parent_fallback	best_total_score	second_total_score	score_margin	marker_pct	marker_winner_fraction	source_fraction	source_count_mean	marker_availability	cluster_reason	top_celltypist_label	top_azimuth_pbmc_l2_label	top_azimuth_pbmc_l3_label	top_panhuman_fine_label	top_panhuman_medium_label	top_cluster_consensus_label	top_screfmapping_label	median_n_genes_by_counts	median_total_counts	median_pct_counts_mt
infection_study_04	T/NK	T_NK_lineage:0	1748	NK Cell	True	NK Cell	2.513591303312596	0.8646023821590292	1.6489889211535667	0.9437818447688898	0.43077803203661325	0.6945080091533181	4.861556064073227	1.0	cluster_consensus_marker_source_support	NK Cell:1646; CD8 Cytotoxic / T Effector Memory:50; CD4 Naive / T Central Memory:41; Blood Cell:5	NK Cell:1712; CD8 Cytotoxic / T Effector Memory:34; Lymphoid Cell:1; ydT Cell:1	Blood Cell:1716; NK Cell:29; Lymphoid Cell:3	NK Cell:1700; Blood Cell:35; Lymphoid Cell:10; CD8 Cytotoxic / T Effector Memory:3	NK Cell:1700; Blood Cell:34; Lymphoid Cell:10; T Cell:4	NK Cell:1711; CD8 Cytotoxic / T Effector Memory:37	not_available:1748	1048.5	1883.0	0.0
infection_study_04	T/NK	T_NK_lineage:3	1482	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	2.1305834283901754	1.3011970055875701	0.8293864228026053	0.8912422601503416	0.17408906882591094	0.6258916522074416	4.3812415654520915	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1361; CD8 Naive / T Central Memory:93; Treg:10; CD8 Cytotoxic / T Effector Memory:10	CD4 Naive / T Central Memory:963; CD8 Naive / T Central Memory:472; CD8 Cytotoxic / T Effector Memory:31; Treg:11	CD4 Naive / T Central Memory:605; Blood Cell:561; CD8 Naive / T Central Memory:301; Treg:15	CD4 Naive / T Central Memory:1058; CD8 Naive / T Central Memory:237; Blood Cell:99; Treg:30	T Cell:1388; Blood Cell:91; Lymphoid Cell:2; NK Cell:1	CD4 Naive / T Central Memory:1432; CD8 Cytotoxic / T Effector Memory:47; Platelet:1; MAIT Cell:1	CD4 Naive / T Central Memory:1074; not_available:378; Treg:16; CD4 T Effector Memory:14	942.0	1896.5	0.0
infection_study_04	T/NK	T_NK_lineage:2	1423	CD8 Cytotoxic / T Effector Memory	True	CD8 Cytotoxic / T Effector Memory	1.9987931175466698	0.4114830483343192	1.5873100692123505	0.9034432334864168	0.31834153197470133	0.490011043067965	3.4300773014757553	1.0	cluster_consensus_marker_source_support	CD8 Cytotoxic / T Effector Memory:1190; NK Cell:118; CD4 Naive / T Central Memory:75; Treg:16	CD8 Cytotoxic / T Effector Memory:1258; NK Cell:68; ydT Cell:65; CD4 T Effector Memory:10	Blood Cell:1397; CD4 T Effector Memory:14; NK Cell:5; MAIT Cell:3	CD8 Cytotoxic / T Effector Memory:1169; NK Cell:112; Blood Cell:94; ydT Cell:17	T Cell:1212; NK Cell:112; Blood Cell:93; Lymphoid Cell:6	CD8 Cytotoxic / T Effector Memory:1264; NK Cell:114; MAIT Cell:42; CD4 Naive / T Central Memory:3	not_available:1409; CD4 T Effector Memory:12; CD4 Naive / T Central Memory:2	1125.0	2070.0	0.0
infection_study_04	T/NK	T_NK_lineage:4	1418	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	2.3415868978870544	0.9816361100935738	1.3599507877934807	0.9427308245938721	0.3025387870239774	0.6584726979649406	4.609308885754584	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1352; Treg:32; CD8 Naive / T Central Memory:14; CD4 T Effector Memory:10	CD4 Naive / T Central Memory:1300; CD8 Naive / T Central Memory:78; Treg:20; CD8 Cytotoxic / T Effector Memory:16	Blood Cell:1072; CD4 Naive / T Central Memory:293; CD8 Naive / T Central Memory:29; Treg:22	CD4 Naive / T Central Memory:969; CD4 T Effector Memory:268; Treg:59; Blood Cell:55	T Cell:1362; Blood Cell:55; NK Cell:1	CD4 Naive / T Central Memory:1386; CD8 Cytotoxic / T Effector Memory:28; Platelet:2; NK Cell:2	CD4 Naive / T Central Memory:1236; not_available:136; CD4 T Effector Memory:26; Treg:20	1112.0	2074.0	0.0
infection_study_04	T/NK	T_NK_lineage:1	1388	NK Cell	True	NK Cell	2.0840679429035696	0.8835957986584579	1.2004721442451116	0.9106518609911578	0.2579250720461095	0.5569164265129684	3.898414985590778	1.0	cluster_consensus_marker_source_support	NK Cell:898; CD8 Cytotoxic / T Effector Memory:241; CD4 Naive / T Central Memory:226; Treg:11	NK Cell:1035; CD8 Cytotoxic / T Effector Memory:297; ydT Cell:45; CD4 Naive / T Central Memory:6	Blood Cell:1360; NK Cell:17; CD4 Naive / T Central Memory:5; Lymphoid Cell:5	NK Cell:1119; CD8 Cytotoxic / T Effector Memory:124; Blood Cell:115; ydT Cell:15	NK Cell:1119; T Cell:157; Blood Cell:109; Lymphoid Cell:3	NK Cell:1223; CD8 Cytotoxic / T Effector Memory:147; MAIT Cell:14; CD4 Naive / T Central Memory:4	not_available:1375; CD4 T Effector Memory:12; CD4 Naive / T Central Memory:1	749.0	1537.0	0.0
infection_study_04	T/NK	T_NK_lineage:5	1262	NK Cell	True	NK Cell	2.282127367059141	0.933014070475563	1.349113296583578	0.9386981058788585	0.39619651347068147	0.5896536110482228	4.127575277337559	1.0	cluster_consensus_marker_source_support	NK Cell:781; CD8 Cytotoxic / T Effector Memory:404; CD4 Naive / T Central Memory:62; Treg:8	NK Cell:1087; CD8 Cytotoxic / T Effector Memory:157; ydT Cell:16; CD8 T Cell (ab):1	Blood Cell:1243; NK Cell:16; CD8 T Cell (ab):1; Lymphoid Cell:1	NK Cell:1105; CD8 Cytotoxic / T Effector Memory:86; Blood Cell:58; ydT Cell:7	NK Cell:1105; T Cell:96; Blood Cell:58; Lymphoid Cell:3	NK Cell:1115; CD8 Cytotoxic / T Effector Memory:144; MAIT Cell:3	not_available:1262	1084.0	1973.5	0.0
infection_study_04	Myeloid/DC	Myeloid_lineage:0	1194	Classical Monocyte	True	Classical Monocyte	2.007615720268745	0.905523401502681	1.102092318766064	0.7752987410606165	0.06448911222780569	0.6622397702799714	4.635678391959799	1.0	cluster_consensus_marker_source_support	Classical Monocyte:1080; Non-Classical Monocyte:60; CD4 Naive / T Central Memory:41; Myeloid Cell:7	Classical Monocyte:1153; Non-Classical Monocyte:37; Conventional DC 2:3; RBC:1	Classical Monocyte:1154; Non-Classical Monocyte:37; Blood Cell:2; RBC:1	Classical Monocyte:1006; Blood Cell:81; Intermediate Monocyte:70; Non-Classical Monocyte:17	Monocyte:1093; Blood Cell:81; DC:15; Granulocyte:5	Classical Monocyte:1142; Non-Classical Monocyte:44; Conventional DC 2:3; Blood Cell:3	not_available:1194	1260.5	2248.0	0.0
infection_study_04	T/NK	T_NK_lineage:8	1186	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	1.9500793235495752	0.9477483951626035	1.002330928386972	0.900781410651861	0.1205733558178752	0.5489038785834739	3.842327150084317	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1066; Treg:64; CD4 T Effector Memory:24; CD8 Cytotoxic / T Effector Memory:20	CD4 Naive / T Central Memory:1066; CD8 Cytotoxic / T Effector Memory:43; Treg:43; CD8 Naive / T Central Memory:14	Blood Cell:1084; CD4 Naive / T Central Memory:48; Treg:45; MAIT Cell:3	CD4 T Effector Memory:523; CD4 Naive / T Central Memory:369; Blood Cell:123; Treg:103	T Cell:1062; Blood Cell:116; NK Cell:5; Lymphoid Cell:3	CD4 Naive / T Central Memory:1103; CD8 Cytotoxic / T Effector Memory:74; MAIT Cell:6; NK Cell:3	CD4 Naive / T Central Memory:905; not_available:129; CD4 T Effector Memory:109; Treg:43	901.5	1730.0	0.0
infection_study_04	T/NK	T_NK_lineage:6	1111	NK Cell	True	NK Cell	1.5428507070324553	1.2322677336914971	0.3105829733409582	0.8508922247355314	0.14401440144014402	0.3483348334833483	2.4383438343834385	1.0	cluster_consensus_marker_source_support	NK Cell:488; CD8 Cytotoxic / T Effector Memory:411; CD4 Naive / T Central Memory:182; Treg:16	CD8 Cytotoxic / T Effector Memory:480; NK Cell:458; CD4 Naive / T Central Memory:89; ydT Cell:75	Blood Cell:1083; NK Cell:23; CD4 T Effector Memory:2; MAIT Cell:2	NK Cell:504; CD8 Cytotoxic / T Effector Memory:346; Blood Cell:207; ydT Cell:29	NK Cell:504; T Cell:447; Blood Cell:150; Lymphoid Cell:10	NK Cell:732; CD8 Cytotoxic / T Effector Memory:357; CD4 Naive / T Central Memory:15; MAIT Cell:5	not_available:1099; CD4 T Effector Memory:7; CD4 Naive / T Central Memory:5	915.0	1785.0	0.0
infection_study_04	T/NK	T_NK_lineage:7	1089	CD8 Cytotoxic / T Effector Memory	True	CD8 Cytotoxic / T Effector Memory	1.7758551327223862	0.6018253875188428	1.1740297452035433	0.8829483400735714	0.26721763085399447	0.4039092220910402	2.827364554637282	1.0	cluster_consensus_marker_source_support	CD8 Cytotoxic / T Effector Memory:553; CD4 Naive / T Central Memory:344; NK Cell:137; Blood Cell:26	CD8 Cytotoxic / T Effector Memory:898; NK Cell:55; CD4 Naive / T Central Memory:49; ydT Cell:35	Blood Cell:1042; CD4 Naive / T Central Memory:15; CD8 Naive / T Central Memory:11; MAIT Cell:8	CD8 Cytotoxic / T Effector Memory:729; Blood Cell:181; NK Cell:87; CD4 Naive / T Central Memory:21	T Cell:852; Blood Cell:148; NK Cell:87; Lymphoid Cell:2	CD8 Cytotoxic / T Effector Memory:899; NK Cell:110; CD4 Naive / T Central Memory:51; MAIT Cell:28	not_available:1005; CD4 T Effector Memory:68; CD4 Naive / T Central Memory:16	733.0	1561.0	0.0
